ClaimNumber,DateOfService,DateOfClaim,SettlementDate,ClaimDescription,ClaimAmount,ClaimStatus,ParticipantSSN,ContractNumber
CLM-2603-089072,7/1/2021,6/2/2024,6/21/2022,Celiac disease nutritional consultation,14815014.96,Denied,670-05-2263,CNT-CDP-8690-290
CLM-0276-774697,4/28/2014,2/19/2017,10/15/2023,Polycystic kidney disease ultrasound,98343448.05,Approved,709-72-7382,CNT-CDP-7343-257
CLM-8750-690162,5/27/2015,5/27/2019,7/14/2021,Ulcerative colitis colonoscopy,4854312.4,In Review,104-95-4544,CNT-CDP-9732-097
CLM-6237-671379,3/20/2021,10/4/2022,9/3/2023,Chronic bronchitis pulmonary function test,59821033.93,Denied,780-31-4369,CNT-CDP-8267-434
CLM-4247-631402,6/11/2013,6/8/2021,8/5/2019,Sleep apnea CPAP adjustment,83302691.12,Denied,495-06-6427,CNT-CDP-5210-397
CLM-5145-502195,10/19/2016,6/7/2024,7/19/2020,Rheumatoid arthritis joint assessment,59367042.12,Reopened,725-04-3952,CNT-CDP-7404-978
CLM-2631-680979,6/12/2020,2/20/2023,9/7/2022,Thyroid hormone level check for hypothyroidism,59228869.81,Approved,802-44-3066,CNT-CDP-7212-177
CLM-5900-497070,4/15/2020,3/4/2022,2/24/2024,Chronic bronchitis pulmonary function test,64993136.71,Reopened,451-43-9983,CNT-CDP-5220-589
CLM-9878-268728,9/2/2018,10/15/2019,9/3/2019,Multiple sclerosis neurological exam,70154558.72,Reopened,634-08-6108,CNT-CDP-2832-547
CLM-8491-197175,8/26/2016,12/25/2017,6/10/2017,Crohn's disease nutritional counseling,59770998.26,Closed,293-60-1882,CNT-CDP-3407-678
CLM-7070-366951,3/28/2018,7/10/2023,8/10/2021,Schizophrenia antipsychotic injection,79292601.68,Closed,553-27-0884,CNT-CDP-7928-952
CLM-0080-180261,6/12/2010,7/23/2015,10/3/2010,Polycystic kidney disease ultrasound,52396987.07,Approved,590-94-9320,CNT-CDP-6475-694
CLM-8104-038698,11/2/2017,9/27/2021,5/7/2020,Bipolar disorder medication adjustment,39542151.1,Partially Approved,596-10-2473,CNT-CDP-6240-985
CLM-7825-853175,6/8/2014,10/13/2019,1/2/2023,Glaucoma intraocular pressure check,18869217.25,Denied,408-91-3036,CNT-CDP-6752-094
CLM-2337-050037,11/25/2016,8/18/2024,8/22/2018,Polycystic kidney disease ultrasound,97380243.27,Approved,123-36-6495,CNT-CDP-3502-551
CLM-6331-514896,2/26/2017,5/15/2020,4/21/2020,Epilepsy medication level monitoring,10181963.55,Submitted,309-17-5482,CNT-CDP-1564-232
CLM-4076-446587,10/22/2020,2/9/2021,2/3/2024,IBS symptom management consultation,42905067.79,Denied,873-15-0859,CNT-CDP-4967-777
CLM-9310-831070,9/7/2010,4/9/2017,2/1/2022,Addison's disease hormone replacement,96600499.39,Closed,158-23-3615,CNT-CDP-1652-944
CLM-1564-093327,7/20/2011,12/29/2015,11/23/2013,Osteoporosis bone density scan,3420858.57,Paid,894-13-5728,CNT-CDP-4392-631
CLM-0528-001839,12/22/2010,4/21/2024,4/7/2011,Thyroid hormone level check for hypothyroidism,45365852.14,In Review,305-29-7802,CNT-CDP-3475-220
CLM-9305-282647,1/19/2010,11/4/2017,12/4/2014,Schizophrenia antipsychotic injection,26908887.78,In Review,270-74-8198,CNT-CDP-0903-673
CLM-8785-567974,7/2/2019,7/9/2019,7/7/2019,Bipolar disorder medication adjustment,90303385.81,Closed,896-28-9199,CNT-CDP-5075-745
CLM-7089-253015,11/19/2014,2/19/2020,7/20/2021,Osteoporosis bone density scan,410266.0,Partially Approved,880-38-0607,CNT-CDP-2560-510
CLM-2926-318805,6/27/2020,6/4/2022,3/25/2022,IBS symptom management consultation,51623193.84,In Appeal,828-20-9034,CNT-CDP-0098-302
CLM-1928-705797,3/15/2017,7/15/2017,8/24/2018,Endometriosis pain management,78999181.64,Closed,438-65-6702,CNT-CDP-3494-580
CLM-9264-546526,4/19/2019,7/4/2019,6/27/2024,Colorectal cancer follow-up colonoscopy,86379176.7,Reopened,817-95-2464,CNT-CDP-1120-060
CLM-2526-965129,11/24/2010,5/22/2014,5/6/2018,Schizophrenia antipsychotic injection,10171429.11,In Appeal,681-80-5419,CNT-CDP-2292-369
CLM-5304-338187,9/21/2017,12/14/2017,11/10/2020,Lupus flare-up management,95886595.41,Closed,446-23-9165,CNT-CDP-1598-945
CLM-8145-316558,5/10/2017,8/23/2019,5/23/2018,Gout uric acid level monitoring,15280705.61,Submitted,617-11-3173,CNT-CDP-7717-377
CLM-5448-933439,3/18/2010,5/30/2023,4/14/2016,Cystic fibrosis respiratory therapy,43448474.73,Pending Additional Information,818-40-5145,CNT-CDP-6256-322
CLM-1939-124063,5/10/2021,10/21/2022,8/14/2021,Addison's disease hormone replacement,40107570.58,Submitted,256-20-7137,CNT-CDP-6703-939
CLM-7115-119596,2/25/2013,12/15/2022,8/24/2013,Lupus flare-up management,43085118.19,Closed,508-03-2394,CNT-CDP-2250-134
CLM-7680-612923,1/3/2019,5/26/2022,6/20/2020,Rheumatoid arthritis joint assessment,22013756.2,Closed,659-96-8770,CNT-CDP-8449-566
CLM-7605-778914,9/7/2021,8/26/2022,7/9/2022,Anxiety disorder cognitive behavioral therapy,58203913.84,Submitted,687-85-6145,CNT-CDP-7307-339
CLM-4794-573890,11/18/2014,9/1/2020,10/16/2020,COPD exacerbation treatment,90133824.65,In Appeal,384-05-4928,CNT-CDP-2461-700
CLM-6463-499762,1/12/2010,7/28/2020,2/23/2011,Anxiety disorder cognitive behavioral therapy,45851991.6,Denied,618-68-3042,CNT-CDP-3570-555
CLM-6491-180562,1/13/2018,6/1/2021,1/23/2023,Peripheral artery disease circulation check,86965192.19,Denied,425-85-7166,CNT-CDP-8459-406
CLM-7814-820439,8/15/2012,12/23/2022,11/24/2018,Psoriasis phototherapy session,14257640.94,Closed,382-86-2475,CNT-CDP-6654-149
CLM-4776-719751,7/30/2017,4/11/2021,9/18/2022,Breast cancer chemotherapy session,23599529.71,In Appeal,241-69-1348,CNT-CDP-8201-958
CLM-4570-969090,1/27/2013,9/14/2021,1/2/2023,Lupus flare-up management,79467623.26,Paid,395-34-4155,CNT-CDP-7444-147
CLM-6366-000857,4/27/2014,12/20/2022,10/18/2020,Fibromyalgia pain management session,30247026.13,Paid,718-91-5189,CNT-CDP-7379-495
CLM-6425-680755,5/22/2011,1/25/2018,11/28/2016,Glaucoma intraocular pressure check,60115631.2,Pending Additional Information,204-76-9461,CNT-CDP-9677-708
CLM-6606-266659,11/29/2017,3/19/2024,4/21/2018,COPD exacerbation treatment,16757697.11,Submitted,775-71-1696,CNT-CDP-4859-484
CLM-4745-587387,6/8/2012,1/2/2022,2/24/2022,Glaucoma intraocular pressure check,2824775.67,Partially Approved,215-04-3547,CNT-CDP-6244-491
CLM-4697-148585,11/21/2015,8/31/2016,12/22/2018,Addison's disease hormone replacement,21692521.36,Reopened,314-07-9926,CNT-CDP-5803-851
CLM-6541-629890,11/27/2011,4/29/2013,12/22/2022,Osteoarthritis joint injection,79052681.31,In Review,861-65-1730,CNT-CDP-2639-503
CLM-9199-073340,12/8/2020,4/6/2024,6/14/2024,Schizophrenia antipsychotic injection,70933165.33,In Appeal,867-06-7123,CNT-CDP-2345-204
CLM-6645-795450,4/2/2010,8/17/2016,4/1/2014,Osteoporosis bone density scan,69422629.41,Reopened,477-12-0920,CNT-CDP-6371-507
CLM-4058-774541,5/14/2012,6/25/2017,12/31/2018,Peripheral artery disease circulation check,77402283.23,Pending Additional Information,217-15-8168,CNT-CDP-6612-374
CLM-9277-394851,11/4/2015,5/27/2023,6/24/2021,Multiple sclerosis neurological exam,13380759.85,Closed,878-41-7771,CNT-CDP-5039-924
CLM-8654-471337,5/13/2011,5/1/2020,2/19/2024,Leukemia blood count monitoring,50240794.1,Pending Additional Information,149-14-7347,CNT-CDP-0165-816
CLM-9690-895485,12/21/2012,12/4/2019,1/9/2021,Sjogren's syndrome dry eye treatment,66763180.32,Approved,389-47-6961,CNT-CDP-7299-158
CLM-8512-713614,4/27/2014,1/30/2024,8/10/2022,Routine diabetes management check-up,94498684.35,Closed,747-77-3483,CNT-CDP-5138-432
CLM-8917-902757,11/10/2018,4/3/2019,1/10/2024,Chronic migraine Botox treatment,84546291.25,Closed,124-97-4413,CNT-CDP-8023-432
CLM-6282-458349,11/14/2018,4/1/2022,2/8/2019,Psoriasis phototherapy session,45329227.6,Paid,482-97-7607,CNT-CDP-7570-004
CLM-0336-853734,3/11/2014,5/30/2017,11/8/2022,Asthma inhaler refill and lung function test,75721610.55,Reopened,204-88-9079,CNT-CDP-3470-453
CLM-6448-978886,3/26/2019,8/12/2019,11/30/2021,Crohn's disease nutritional counseling,33857454.98,In Appeal,154-35-8724,CNT-CDP-3210-969
CLM-8510-841978,2/10/2014,10/4/2016,11/26/2022,Chronic kidney disease dialysis session,60658367.48,Closed,630-73-9931,CNT-CDP-2460-019
CLM-5623-607618,12/6/2019,11/10/2022,8/13/2020,Anxiety disorder cognitive behavioral therapy,48709132.73,Approved,656-05-0343,CNT-CDP-5379-381
CLM-0643-086390,9/29/2015,2/6/2020,5/5/2019,Gout uric acid level monitoring,19263905.32,In Review,679-41-8178,CNT-CDP-9562-404
CLM-3011-881366,8/25/2014,9/24/2015,11/5/2017,Celiac disease nutritional consultation,87928118.48,Submitted,638-35-6818,CNT-CDP-0012-149
CLM-7407-198969,10/30/2019,8/7/2024,6/8/2024,Crohn's disease nutritional counseling,85164277.07,Pending Additional Information,375-03-4051,CNT-CDP-2950-681
CLM-8535-586190,8/26/2019,8/21/2020,11/17/2020,Cystic fibrosis respiratory therapy,44226477.35,Reopened,206-27-6622,CNT-CDP-5622-270
CLM-7914-916315,3/31/2011,8/19/2023,1/29/2017,Bipolar disorder medication adjustment,98560438.5,Pending Additional Information,566-28-7266,CNT-CDP-5277-908
CLM-5765-781419,4/27/2018,10/8/2020,6/12/2019,Schizophrenia antipsychotic injection,86501973.65,Closed,326-37-7476,CNT-CDP-0583-756
CLM-8918-668869,4/8/2016,10/2/2022,4/22/2021,Gout uric acid level monitoring,50036461.0,Approved,564-83-9620,CNT-CDP-9208-549
CLM-6871-180957,6/21/2013,5/16/2015,10/18/2021,Anxiety disorder cognitive behavioral therapy,35207478.76,Pending Additional Information,589-76-1170,CNT-CDP-1384-365
CLM-4297-627721,7/5/2010,3/18/2014,11/21/2014,Epilepsy medication level monitoring,82817020.96,Paid,338-48-3042,CNT-CDP-7520-153
CLM-1276-246862,3/7/2016,9/22/2019,3/25/2021,Sleep apnea CPAP adjustment,75573683.18,Reopened,895-02-4391,CNT-CDP-2664-430
CLM-3809-072279,8/8/2011,4/20/2020,10/4/2012,Prostate cancer PSA level check,15306203.29,Closed,422-24-4223,CNT-CDP-7969-902
CLM-6803-835190,11/7/2013,6/9/2016,7/1/2018,Routine diabetes management check-up,13798144.41,In Review,211-86-9170,CNT-CDP-4716-686
CLM-7899-838843,5/11/2011,3/24/2021,7/25/2017,Crohn's disease nutritional counseling,74418369.54,Reopened,658-74-3933,CNT-CDP-9251-365
CLM-4769-711237,11/6/2017,6/23/2019,3/10/2021,Obesity management and counseling,3764169.81,Closed,165-57-9812,CNT-CDP-0735-160
CLM-0714-300704,10/23/2020,3/21/2024,6/17/2021,Endometriosis pain management,44705102.59,Reopened,291-30-2108,CNT-CDP-9193-513
CLM-5584-475794,10/31/2016,12/3/2016,12/31/2021,IBS symptom management consultation,67251459.41,Submitted,410-43-9350,CNT-CDP-9548-714
CLM-0453-444536,5/24/2016,4/23/2018,3/16/2020,Leukemia blood count monitoring,16869644.62,Partially Approved,518-11-4899,CNT-CDP-4355-213
CLM-3350-604957,5/19/2010,2/10/2020,5/11/2012,Cirrhosis liver function tests,73887256.17,In Appeal,665-24-8168,CNT-CDP-5883-370
CLM-1864-568057,11/4/2015,1/19/2023,6/24/2022,Atrial fibrillation anticoagulation check,86358804.34,Denied,502-67-5285,CNT-CDP-7633-031
CLM-4828-225007,9/16/2011,6/30/2019,6/20/2014,Celiac disease nutritional consultation,58806327.12,Paid,475-95-2595,CNT-CDP-4298-194
CLM-6741-867781,10/18/2014,9/30/2022,5/10/2017,Hepatitis C antiviral therapy follow-up,1550500.42,Reopened,498-46-1930,CNT-CDP-8860-145
CLM-9559-931512,6/18/2010,2/4/2022,6/24/2021,Hypertension medication adjustment,62180058.24,Closed,725-65-7781,CNT-CDP-6359-891
CLM-5951-929292,1/11/2010,1/26/2020,7/4/2020,Peripheral artery disease circulation check,77570966.21,Reopened,767-59-7431,CNT-CDP-5491-579
CLM-9123-915794,6/1/2017,3/19/2020,8/2/2018,Cystic fibrosis respiratory therapy,85933611.81,Denied,300-44-3169,CNT-CDP-7846-837
CLM-4350-027895,6/1/2018,1/27/2023,8/17/2019,Hemophilia factor replacement therapy,18402948.22,Approved,668-38-6763,CNT-CDP-0043-128
CLM-1106-751310,4/4/2014,1/24/2022,4/9/2022,Glaucoma intraocular pressure check,45837768.79,Denied,623-03-6583,CNT-CDP-1752-610
CLM-7370-461667,10/8/2010,12/6/2015,5/17/2023,Chronic bronchitis pulmonary function test,78900080.91,Paid,770-36-0505,CNT-CDP-4838-473
CLM-5959-027558,9/1/2011,4/2/2015,2/23/2019,Routine diabetes management check-up,40684598.93,Reopened,412-40-8935,CNT-CDP-6362-620
CLM-6994-962841,9/22/2017,6/25/2023,10/23/2019,HIV viral load testing,39570824.94,Pending Additional Information,308-18-0400,CNT-CDP-6472-018
CLM-9467-621277,12/27/2019,3/30/2024,7/31/2024,Celiac disease nutritional consultation,95234975.44,Partially Approved,180-34-1296,CNT-CDP-3649-607
CLM-8344-799064,2/21/2011,10/4/2013,6/20/2018,Hepatitis C antiviral therapy follow-up,12621980.85,Pending Additional Information,637-69-7020,CNT-CDP-8741-560
CLM-6549-516802,10/4/2015,2/20/2017,7/28/2022,Atrial fibrillation anticoagulation check,50323702.61,Denied,578-90-4275,CNT-CDP-8452-467
CLM-7156-642243,7/8/2011,8/26/2022,2/5/2021,Parkinson's disease tremor assessment,7055785.74,Submitted,745-78-1608,CNT-CDP-4814-607
CLM-6047-202403,6/25/2015,2/27/2019,7/14/2020,Colorectal cancer follow-up colonoscopy,44199319.2,Reopened,677-10-3008,CNT-CDP-0530-984
CLM-4945-743737,4/9/2017,11/1/2020,2/19/2023,Thyroid hormone level check for hypothyroidism,72151710.79,Approved,218-74-8622,CNT-CDP-7016-102
CLM-5315-146271,6/28/2013,9/6/2018,5/9/2016,Celiac disease nutritional consultation,35277648.91,Closed,269-09-2538,CNT-CDP-6403-634
CLM-6005-500806,12/16/2012,9/29/2014,2/1/2023,Graves' disease thyroid function test,84324048.96,Approved,552-35-2438,CNT-CDP-8550-485
CLM-8397-495626,7/18/2012,12/3/2015,1/1/2024,Endometriosis pain management,95092409.98,In Review,412-90-7672,CNT-CDP-3236-919
CLM-5352-898878,11/11/2019,6/29/2023,7/13/2021,Obesity management and counseling,90699452.85,Submitted,299-16-0447,CNT-CDP-0166-217
CLM-8391-786552,4/17/2017,3/26/2020,5/25/2024,Bipolar disorder medication adjustment,71930864.02,Pending Additional Information,215-74-6228,CNT-CDP-4618-585
CLM-8613-291873,9/13/2016,7/1/2023,1/28/2022,Osteoporosis bone density scan,90469016.36,Pending Additional Information,399-69-0947,CNT-CDP-3283-313
CLM-3195-229946,5/30/2012,4/28/2013,1/26/2019,Cystic fibrosis respiratory therapy,69375560.11,Paid,861-72-0342,CNT-CDP-5374-530
CLM-4842-800484,6/22/2015,10/28/2015,2/17/2017,Polycystic kidney disease ultrasound,31265170.63,In Review,208-07-0529,CNT-CDP-3226-308
CLM-2358-280987,5/11/2018,11/20/2020,9/29/2019,Chronic depression therapy session,97123692.25,Paid,848-89-8687,CNT-CDP-5956-156
CLM-9544-117076,7/12/2016,9/11/2018,1/11/2019,COPD exacerbation treatment,5589459.51,Approved,166-98-1091,CNT-CDP-1681-460
CLM-6301-451453,8/15/2011,3/3/2024,9/20/2020,Rheumatoid arthritis joint assessment,78449353.82,Paid,422-62-2182,CNT-CDP-3513-651
CLM-1972-255616,4/21/2020,11/20/2020,6/29/2020,Asthma inhaler refill and lung function test,32689949.54,Closed,265-97-9539,CNT-CDP-0048-189
CLM-3538-768727,8/31/2020,3/19/2024,8/9/2023,Alzheimer's disease cognitive assessment,76265901.92,Denied,306-14-3634,CNT-CDP-7129-001
CLM-9080-832389,4/7/2015,3/6/2023,2/8/2022,Hepatitis C antiviral therapy follow-up,14339215.24,Paid,410-80-0544,CNT-CDP-0025-074
CLM-2444-631635,1/18/2010,4/9/2012,8/24/2014,Epilepsy medication level monitoring,18447869.65,Reopened,875-29-6614,CNT-CDP-4226-906
CLM-1060-997260,11/12/2014,4/21/2017,5/14/2015,Celiac disease nutritional consultation,91259818.7,Pending Additional Information,588-96-0601,CNT-CDP-4794-011
CLM-9765-967538,8/7/2010,5/25/2023,8/4/2011,Diabetic retinopathy eye exam,61878633.0,Pending Additional Information,598-95-4048,CNT-CDP-3138-200
CLM-1416-902011,4/29/2010,9/24/2014,3/3/2024,Sjogren's syndrome dry eye treatment,5618820.03,Paid,522-52-7381,CNT-CDP-3261-885
CLM-3278-370961,2/13/2020,3/13/2022,5/3/2021,Cystic fibrosis respiratory therapy,32689267.54,Submitted,437-28-5709,CNT-CDP-8773-843
CLM-7006-322274,5/22/2012,4/15/2024,6/17/2016,Sickle cell anemia pain management,17128387.36,Paid,113-71-9326,CNT-CDP-0703-703
CLM-7323-961204,12/31/2015,9/20/2021,9/25/2017,Hepatitis C antiviral therapy follow-up,75315924.03,Pending Additional Information,896-81-5156,CNT-CDP-7695-110
CLM-2541-199216,11/10/2010,6/29/2014,8/31/2012,Ulcerative colitis colonoscopy,42797103.16,Approved,519-93-6599,CNT-CDP-2794-924
CLM-3932-628104,10/11/2013,3/20/2016,3/5/2023,HIV viral load testing,74640716.28,Paid,722-26-0647,CNT-CDP-4697-407
CLM-7490-135218,6/25/2017,5/31/2022,5/19/2022,Chronic bronchitis pulmonary function test,76202977.7,Denied,857-52-5906,CNT-CDP-8278-068
CLM-5082-486204,1/8/2014,12/22/2019,2/17/2015,Asthma inhaler refill and lung function test,5651490.48,Denied,814-01-5556,CNT-CDP-7848-670
CLM-3144-560722,2/8/2018,7/9/2021,1/20/2021,Polycystic kidney disease ultrasound,51225885.87,Partially Approved,780-65-8298,CNT-CDP-4885-368
CLM-7004-988090,10/1/2013,5/2/2020,8/8/2024,Gout uric acid level monitoring,66470540.01,Pending Additional Information,651-90-2964,CNT-CDP-0705-782
CLM-9199-627529,11/20/2013,9/4/2017,3/17/2020,Hemophilia factor replacement therapy,71509167.65,Approved,640-60-8033,CNT-CDP-2085-309
CLM-1540-178258,2/22/2011,4/4/2013,3/22/2016,Diabetic retinopathy eye exam,97671361.8,Approved,334-65-6897,CNT-CDP-3835-236
CLM-3708-045299,10/7/2021,8/3/2022,5/15/2022,Routine diabetes management check-up,14572715.82,In Review,631-57-4730,CNT-CDP-9071-527
CLM-6821-319381,6/15/2017,4/21/2018,11/1/2023,Colorectal cancer follow-up colonoscopy,33122489.13,Submitted,801-87-9957,CNT-CDP-8176-312
CLM-7422-311620,1/8/2015,11/19/2020,5/24/2021,Hemophilia factor replacement therapy,15027795.44,Partially Approved,153-98-4419,CNT-CDP-6356-443
CLM-5119-429037,2/18/2013,1/6/2017,12/17/2023,Osteoporosis bone density scan,20255159.36,In Appeal,550-01-2806,CNT-CDP-1303-991
CLM-7743-733229,4/10/2015,4/29/2018,12/22/2017,Epilepsy medication level monitoring,25140334.58,Denied,769-62-7163,CNT-CDP-5770-589
CLM-6793-697949,12/10/2019,10/3/2020,8/21/2021,Alzheimer's disease cognitive assessment,43573068.88,Partially Approved,712-79-7833,CNT-CDP-8758-759
CLM-6627-332897,5/22/2021,1/5/2024,10/11/2023,Asthma inhaler refill and lung function test,55701980.68,Approved,855-40-9834,CNT-CDP-7169-983
CLM-5446-516297,10/19/2014,8/22/2015,2/21/2020,Lupus flare-up management,79413154.78,In Review,748-90-4117,CNT-CDP-3592-132
CLM-6885-981342,5/12/2017,11/28/2022,9/14/2023,Rheumatoid arthritis joint assessment,30470043.6,Reopened,326-04-0614,CNT-CDP-4635-159
CLM-2711-905757,10/4/2017,5/28/2022,11/29/2021,Graves' disease thyroid function test,1106007.24,Submitted,583-39-4347,CNT-CDP-0695-142
CLM-4841-310632,5/11/2017,7/31/2020,12/14/2017,Colorectal cancer follow-up colonoscopy,94483715.22,Partially Approved,836-35-2450,CNT-CDP-6628-502
CLM-2688-994060,10/16/2020,4/8/2023,8/7/2024,Hypertension medication adjustment,45962717.51,Closed,858-53-2358,CNT-CDP-0445-531
CLM-4496-689822,2/25/2017,3/25/2019,1/12/2023,Chronic fatigue syndrome assessment,72263294.83,Pending Additional Information,292-03-4310,CNT-CDP-3103-701
CLM-2536-101302,12/17/2021,5/29/2023,7/12/2023,Anxiety disorder cognitive behavioral therapy,53600626.47,Closed,725-60-1616,CNT-CDP-6440-083
CLM-8311-881080,12/14/2010,12/17/2019,7/7/2018,Graves' disease thyroid function test,32841321.88,In Review,466-57-9223,CNT-CDP-8889-788
CLM-6962-879345,4/1/2019,12/4/2019,1/21/2023,Asthma inhaler refill and lung function test,3695405.86,Pending Additional Information,487-56-0765,CNT-CDP-9199-884
CLM-4230-609568,11/28/2016,3/8/2020,12/18/2018,Sleep apnea CPAP adjustment,55961730.51,Pending Additional Information,454-65-2244,CNT-CDP-7225-678
CLM-3687-091853,11/20/2015,7/11/2024,12/1/2022,Psoriasis phototherapy session,5191687.05,In Appeal,211-75-6735,CNT-CDP-1854-163
CLM-5843-942637,7/27/2015,4/17/2020,8/17/2022,Sjogren's syndrome dry eye treatment,79048353.13,Paid,461-64-8000,CNT-CDP-9453-431
CLM-3854-044552,10/9/2013,11/30/2023,7/19/2022,Peripheral artery disease circulation check,1600030.51,Approved,673-93-5626,CNT-CDP-9142-986
CLM-5987-807478,2/1/2012,6/25/2014,1/3/2019,Prostate cancer PSA level check,73146577.25,In Review,767-58-5012,CNT-CDP-0696-193
CLM-4061-709285,2/15/2017,6/15/2020,12/4/2019,Chronic bronchitis pulmonary function test,47873748.72,Closed,671-35-6780,CNT-CDP-4785-095
CLM-1478-404287,3/16/2015,3/27/2017,6/10/2020,Graves' disease thyroid function test,58530145.77,Pending Additional Information,891-71-5209,CNT-CDP-1691-543
CLM-6343-023424,12/18/2013,1/27/2024,6/28/2015,Hepatitis C antiviral therapy follow-up,51557479.69,Partially Approved,274-23-4209,CNT-CDP-7755-654
CLM-6918-655112,5/27/2015,12/6/2018,4/12/2020,Colorectal cancer follow-up colonoscopy,29526295.53,In Appeal,665-42-8225,CNT-CDP-2948-417
CLM-6572-909336,12/10/2013,7/13/2016,2/4/2022,Chronic migraine Botox treatment,26514133.82,Approved,576-02-7873,CNT-CDP-6726-517
CLM-9283-222893,10/7/2015,2/7/2019,7/11/2020,Asthma inhaler refill and lung function test,4865443.32,Submitted,769-42-1440,CNT-CDP-1686-344
CLM-5947-274101,1/8/2019,2/21/2019,6/8/2020,Breast cancer chemotherapy session,9980028.18,Pending Additional Information,413-61-4244,CNT-CDP-0952-359
CLM-4340-352807,7/6/2011,9/30/2015,10/8/2018,Endometriosis pain management,51559790.44,In Appeal,224-89-7111,CNT-CDP-9810-437
CLM-7741-621559,1/29/2013,10/25/2019,12/25/2019,Gout uric acid level monitoring,64341915.83,Partially Approved,711-16-6050,CNT-CDP-8648-617
CLM-5208-376064,4/29/2018,8/4/2022,5/9/2024,Congestive heart failure fluid balance check,99017419.7,In Review,574-61-8207,CNT-CDP-8627-277
CLM-4906-747240,12/19/2013,2/3/2017,9/28/2023,Alzheimer's disease cognitive assessment,14599446.36,Closed,101-56-9295,CNT-CDP-1266-207
CLM-2054-439116,1/14/2016,4/6/2020,6/24/2018,Endometriosis pain management,83500589.42,In Review,868-46-4808,CNT-CDP-8613-486
CLM-1818-519046,2/11/2011,11/27/2015,10/16/2020,Chronic depression therapy session,44291484.03,In Review,407-71-8866,CNT-CDP-7084-441
CLM-1032-606872,2/22/2020,4/12/2024,2/12/2022,Breast cancer chemotherapy session,38807170.44,Partially Approved,419-63-5905,CNT-CDP-2225-044
CLM-9462-847124,8/21/2013,3/12/2015,2/11/2018,Chronic migraine Botox treatment,3951359.06,Partially Approved,811-58-1212,CNT-CDP-5220-091
CLM-5026-137524,8/10/2013,4/2/2018,12/2/2023,Congestive heart failure fluid balance check,78600087.77,Submitted,626-66-5584,CNT-CDP-6784-885
CLM-0500-720884,6/29/2019,7/12/2022,11/22/2022,Glaucoma intraocular pressure check,95353653.86,In Review,168-19-0481,CNT-CDP-8795-526
CLM-5042-158557,9/9/2018,10/12/2021,7/16/2021,Anxiety disorder cognitive behavioral therapy,602101.01,Denied,692-47-2357,CNT-CDP-4297-856
CLM-6655-118623,9/22/2017,5/29/2024,12/21/2020,Hepatitis C antiviral therapy follow-up,37830489.71,Submitted,373-67-9626,CNT-CDP-2183-000
CLM-1102-885961,3/2/2017,6/30/2020,6/26/2019,Epilepsy medication level monitoring,35589907.83,Paid,320-25-2977,CNT-CDP-7146-925
CLM-2420-158071,5/23/2019,3/17/2023,9/5/2023,Polycystic kidney disease ultrasound,83658050.71,Partially Approved,854-69-3970,CNT-CDP-6430-594
CLM-9161-337411,4/18/2019,10/4/2023,4/25/2024,Lupus flare-up management,33247199.29,In Appeal,832-18-4073,CNT-CDP-5583-933
CLM-9095-609753,11/1/2021,12/2/2023,5/26/2024,Hepatitis C antiviral therapy follow-up,15917901.66,Closed,891-07-5697,CNT-CDP-2519-036
CLM-5930-083352,9/30/2018,12/2/2023,8/12/2024,Glaucoma intraocular pressure check,13259720.43,Paid,546-49-9513,CNT-CDP-4259-735
CLM-2358-147404,1/11/2019,9/21/2020,7/9/2022,Hypertension medication adjustment,23355565.91,Denied,831-60-3564,CNT-CDP-2283-636
CLM-4847-062396,10/9/2012,8/25/2018,1/11/2013,Routine diabetes management check-up,27465070.94,Closed,423-42-6653,CNT-CDP-7820-783
CLM-3867-097125,12/5/2014,10/23/2020,1/30/2015,Alzheimer's disease cognitive assessment,92375341.66,Paid,877-30-9023,CNT-CDP-0296-158
CLM-9244-650971,3/12/2019,12/23/2020,6/17/2019,HIV viral load testing,43890342.75,In Appeal,207-52-4102,CNT-CDP-9120-282
CLM-6400-920393,11/18/2019,5/14/2023,3/22/2020,Sleep apnea CPAP adjustment,11519952.41,Closed,435-05-0700,CNT-CDP-8976-574
CLM-9589-048471,3/29/2011,9/1/2018,3/8/2017,Chronic kidney disease dialysis session,52672370.63,Partially Approved,382-63-8299,CNT-CDP-1686-121
CLM-6387-038298,8/24/2015,9/1/2017,9/8/2018,Gout uric acid level monitoring,4394108.44,Closed,846-34-3911,CNT-CDP-6094-001
CLM-8608-719956,1/13/2018,8/15/2023,4/22/2019,Hypertension medication adjustment,63296233.79,In Appeal,836-20-4847,CNT-CDP-5856-605
CLM-3075-455244,3/9/2017,3/12/2022,4/6/2024,Hemophilia factor replacement therapy,57918940.09,Submitted,405-52-0926,CNT-CDP-0408-502
CLM-2820-721079,2/23/2010,1/6/2019,8/31/2017,Prostate cancer PSA level check,61631014.02,Partially Approved,698-63-5228,CNT-CDP-6145-479
CLM-1660-561082,2/17/2011,6/26/2012,8/6/2021,Sleep apnea CPAP adjustment,82133847.35,In Appeal,246-11-0693,CNT-CDP-9285-805
CLM-4753-188547,9/2/2019,11/21/2019,2/1/2020,Asthma inhaler refill and lung function test,56984949.3,Reopened,452-06-1895,CNT-CDP-3461-691
CLM-7403-984858,4/13/2013,10/21/2021,5/28/2018,Hepatitis C antiviral therapy follow-up,42104687.48,In Review,311-66-1684,CNT-CDP-6814-078
