PremiumCode,ContractNumber,CustomerSSN,PremiumAmount,PremiumFrequency,PaymentMethod,Status
PREM2992,CNT-CDP-3714-990,701-70-7269,1762,Querterly,Direct Debit/Automatic Withdrawal,Cancelled
PREM7261,CNT-CDP-0640-615,754-98-7758,7835,Querterly,Credit or Debit Card,Renewed
PREM8133,CNT-CDP-9161-928,299-78-7188,6557,Monthly,In-Person Payments,Cancelled
PREM1531,CNT-CDP-3703-412,172-85-1067,6923,Semi-Annually,Online Payment Portals,Suspended
PREM3912,CNT-CDP-0608-681,684-49-6147,9972,Annually,Mobile Payment Apps,Overdue
PREM1379,CNT-CDP-0372-592,126-86-4015,4582,Semi-Annually,Phone Payments,Overdue
PREM9802,CNT-CDP-3750-460,436-44-7581,2892,Annually,Credit or Debit Card,Cancelled
PREM8782,CNT-CDP-5503-575,552-78-2235,1460,Querterly,Mobile Payment Apps,Lapsed
PREM9626,CNT-CDP-8710-618,527-90-6987,1937,Semi-Annually,In-Person Payments,Suspended
PREM3590,CNT-CDP-9721-992,320-72-8082,5961,Semi-Annually,In-Person Payments,Pending
PREM7414,CNT-CDP-0291-814,490-64-8020,3531,Querterly,Electronic Funds Transfer (EFT),Lapsed
PREM3981,CNT-CDP-7904-696,400-21-1001,7925,Monthly,Online Payment Portals,Active
PREM3410,CNT-CDP-4794-011,105-24-5963,4450,Semi-Annually,Phone Payments,Suspended
PREM1642,CNT-CDP-3830-130,648-58-2228,1902,Semi-Annually,Phone Payments,Overdue
PREM3208,CNT-CDP-8201-958,177-43-9176,131,Querterly,Electronic Funds Transfer (EFT),Expired
PREM0726,CNT-CDP-1388-251,518-58-6058,6883,Annually,In-Person Payments,Overdue
PREM5881,CNT-CDP-2968-518,707-70-2974,8113,Monthly,Direct Debit/Automatic Withdrawal,Cancelled
PREM6068,CNT-CDP-1152-783,891-27-9474,2903,Monthly,Direct Debit/Automatic Withdrawal,Cancelled
PREM9259,CNT-CDP-4219-166,440-33-5693,3268,Monthly,Phone Payments,Cancelled
PREM9837,CNT-CDP-8017-864,863-73-9525,680,Semi-Annually,Direct Debit/Automatic Withdrawal,Active
PREM7933,CNT-CDP-4859-484,435-10-4849,5815,Querterly,Check,Renewed
PREM7956,CNT-CDP-1585-636,608-97-9026,7643,Querterly,Phone Payments,Pending
PREM5423,CNT-CDP-4874-503,102-21-1414,1914,Monthly,Check,Cancelled
PREM8842,CNT-CDP-4223-178,294-53-3385,3803,Annually,In-Person Payments,Lapsed
PREM8718,CNT-CDP-6574-463,173-33-5474,8970,Semi-Annually,Phone Payments,Overdue
PREM8545,CNT-CDP-5184-234,564-07-3591,1516,Annually,Electronic Funds Transfer (EFT),Suspended
PREM2758,CNT-CDP-9006-328,236-74-4042,3422,Querterly,Phone Payments,Renewed
PREM4011,CNT-CDP-7234-278,817-61-1069,1874,Querterly,Phone Payments,Pending
PREM7897,CNT-CDP-7980-782,176-84-2096,7986,Querterly,In-Person Payments,Suspended
PREM3317,CNT-CDP-0372-592,126-86-4015,7569,Querterly,Electronic Funds Transfer (EFT),Overdue
PREM0998,CNT-CDP-8452-467,572-54-4752,8588,Semi-Annually,In-Person Payments,Pending
PREM6873,CNT-CDP-9688-417,869-20-0883,1067,Annually,Electronic Funds Transfer (EFT),Active
PREM4307,CNT-CDP-2460-019,397-69-2805,7300,Querterly,Credit or Debit Card,Cancelled
PREM0474,CNT-CDP-7938-639,307-44-4074,8678,Annually,Phone Payments,Renewed
PREM0287,CNT-CDP-3649-607,276-40-7872,7338,Querterly,Online Payment Portals,Pending
PREM6737,CNT-CDP-6371-507,379-37-7126,1879,Monthly,Credit or Debit Card,Pending
PREM9228,CNT-CDP-6475-694,107-22-6715,4637,Semi-Annually,Check,Renewed
PREM7764,CNT-CDP-7717-377,772-58-7916,1749,Annually,Direct Debit/Automatic Withdrawal,Active
PREM4170,CNT-CDP-3529-529,233-98-7822,8442,Monthly,Electronic Funds Transfer (EFT),Lapsed
PREM9255,CNT-CDP-7628-757,206-82-9014,4281,Semi-Annually,Electronic Funds Transfer (EFT),Renewed
PREM9407,CNT-CDP-9510-554,598-76-7465,5361,Semi-Annually,Phone Payments,Renewed
PREM6276,CNT-CDP-0206-644,429-65-7811,6040,Semi-Annually,Phone Payments,Expired
PREM2423,CNT-CDP-9446-125,339-35-4231,6019,Semi-Annually,Phone Payments,Lapsed
PREM8191,CNT-CDP-1234-769,675-06-9696,9941,Monthly,Online Payment Portals,Expired
PREM1048,CNT-CDP-9670-435,369-81-1487,7689,Querterly,In-Person Payments,Pending
PREM6278,CNT-CDP-6911-649,206-82-9014,1071,Monthly,Credit or Debit Card,Expired
PREM5035,CNT-CDP-5583-933,757-43-9631,4127,Annually,Direct Debit/Automatic Withdrawal,Expired
PREM3147,CNT-CDP-1272-413,577-44-6995,1013,Semi-Annually,Credit or Debit Card,Pending
PREM8712,CNT-CDP-8986-905,483-11-4619,885,Semi-Annually,Credit or Debit Card,Expired
PREM9856,CNT-CDP-5917-016,230-79-0511,9668,Querterly,Phone Payments,Suspended
PREM0873,CNT-CDP-7012-459,730-87-9665,8591,Semi-Annually,Check,Pending
PREM9909,CNT-CDP-6359-891,268-99-3106,9133,Querterly,Electronic Funds Transfer (EFT),Renewed
PREM2171,CNT-CDP-0034-578,192-60-6314,3063,Monthly,Mobile Payment Apps,Pending
PREM9118,CNT-CDP-4343-248,719-79-7096,4897,Monthly,Online Payment Portals,Lapsed
PREM8497,CNT-CDP-9640-675,126-86-4015,7191,Annually,Credit or Debit Card,Renewed
PREM0595,CNT-CDP-4427-989,819-29-9354,1021,Annually,Credit or Debit Card,Cancelled
PREM4302,CNT-CDP-5615-634,395-52-7205,8321,Semi-Annually,Check,Expired
PREM0689,CNT-CDP-0574-136,593-06-9806,891,Querterly,Phone Payments,Suspended
PREM0717,CNT-CDP-7934-726,708-86-3495,4050,Semi-Annually,Electronic Funds Transfer (EFT),Pending
PREM8810,CNT-CDP-0376-223,240-36-3667,4862,Annually,Online Payment Portals,Renewed
PREM3271,CNT-CDP-5027-740,803-89-9048,858,Semi-Annually,Credit or Debit Card,Expired
PREM1209,CNT-CDP-7072-802,384-12-1031,6599,Semi-Annually,Check,Expired
PREM8108,CNT-CDP-1592-484,413-81-5827,4979,Monthly,Check,Renewed
PREM3414,CNT-CDP-3225-709,422-22-6500,5614,Monthly,Credit or Debit Card,Cancelled
PREM6770,CNT-CDP-4893-951,202-17-8422,2234,Semi-Annually,Check,Pending
PREM1503,CNT-CDP-0300-151,618-65-3141,9951,Monthly,Electronic Funds Transfer (EFT),Overdue
PREM5013,CNT-CDP-8986-905,483-11-4619,7367,Monthly,Electronic Funds Transfer (EFT),Overdue
PREM3058,CNT-CDP-3627-043,517-96-6739,7611,Semi-Annually,In-Person Payments,Cancelled
PREM4404,CNT-CDP-5503-541,842-33-0692,6371,Monthly,Mobile Payment Apps,Suspended
PREM3950,CNT-CDP-0152-682,399-02-7593,1832,Monthly,Direct Debit/Automatic Withdrawal,Active
PREM7465,CNT-CDP-0703-703,485-17-0690,6399,Semi-Annually,Check,Expired
PREM6664,CNT-CDP-7552-534,706-92-3972,2462,Monthly,Online Payment Portals,Cancelled
PREM6243,CNT-CDP-7234-278,817-61-1069,4840,Monthly,Check,Renewed
PREM8723,CNT-CDP-1132-893,339-05-1707,2894,Monthly,In-Person Payments,Renewed
PREM2418,CNT-CDP-4388-592,578-71-8021,4753,Annually,Electronic Funds Transfer (EFT),Overdue
PREM5255,CNT-CDP-3239-793,146-09-6810,1757,Querterly,Mobile Payment Apps,Cancelled
PREM8924,CNT-CDP-4228-131,108-98-3421,6224,Querterly,Phone Payments,Overdue
PREM5731,CNT-CDP-7422-970,176-91-5939,48,Semi-Annually,Direct Debit/Automatic Withdrawal,Cancelled
PREM3787,CNT-CDP-9721-612,297-67-6147,6173,Monthly,Online Payment Portals,Cancelled
PREM2604,CNT-CDP-5884-498,814-90-5059,3880,Semi-Annually,In-Person Payments,Suspended
PREM1955,CNT-CDP-8519-024,505-12-3386,8319,Semi-Annually,Check,Renewed
PREM2457,CNT-CDP-2461-700,126-86-4015,3482,Semi-Annually,In-Person Payments,Suspended
PREM4961,CNT-CDP-4691-864,577-44-6995,7442,Querterly,Mobile Payment Apps,Expired
PREM9059,CNT-CDP-6461-353,527-99-2794,514,Semi-Annually,In-Person Payments,Renewed
PREM3866,CNT-CDP-9092-897,398-74-8575,5983,Annually,Direct Debit/Automatic Withdrawal,Renewed
PREM0781,CNT-CDP-6459-645,292-80-3409,4100,Monthly,Online Payment Portals,Cancelled
PREM9034,CNT-CDP-3564-522,395-89-0632,674,Annually,Online Payment Portals,Pending
PREM1704,CNT-CDP-2038-439,128-62-7754,7386,Annually,Online Payment Portals,Cancelled
PREM7005,CNT-CDP-4233-970,839-73-6465,6839,Annually,Electronic Funds Transfer (EFT),Renewed
PREM2568,CNT-CDP-3373-296,379-80-0956,3978,Monthly,Online Payment Portals,Lapsed
PREM4724,CNT-CDP-3959-709,185-30-3761,6296,Semi-Annually,Phone Payments,Overdue
PREM6521,CNT-CDP-6907-674,339-35-4231,2647,Annually,Credit or Debit Card,Pending
PREM3275,CNT-CDP-1754-791,436-44-7581,5069,Semi-Annually,Mobile Payment Apps,Pending
PREM7204,CNT-CDP-0138-654,572-52-6215,7632,Annually,In-Person Payments,Expired
PREM4848,CNT-CDP-5520-624,620-80-1535,7028,Semi-Annually,Online Payment Portals,Pending
PREM4614,CNT-CDP-8392-022,888-60-2700,5954,Semi-Annually,Online Payment Portals,Suspended
PREM3307,CNT-CDP-6362-620,572-26-6323,7232,Semi-Annually,Electronic Funds Transfer (EFT),Active
PREM8658,CNT-CDP-4472-033,498-96-5310,9005,Querterly,Check,Renewed
PREM0881,CNT-CDP-6430-594,161-27-2102,8228,Annually,Phone Payments,Lapsed
PREM8789,CNT-CDP-4289-140,332-50-8142,7828,Monthly,Online Payment Portals,Expired
PREM2727,CNT-CDP-7866-739,314-07-7920,8974,Querterly,Mobile Payment Apps,Renewed
PREM3727,CNT-CDP-3835-236,107-43-5220,9434,Annually,Credit or Debit Card,Lapsed
PREM4351,CNT-CDP-4868-339,462-50-5376,2005,Querterly,Direct Debit/Automatic Withdrawal,Renewed
PREM2436,CNT-CDP-4238-598,646-41-5274,5838,Querterly,Mobile Payment Apps,Lapsed
PREM6769,CNT-CDP-7978-668,818-19-8936,4244,Semi-Annually,Check,Pending
PREM2131,CNT-CDP-3502-551,788-15-9864,3271,Semi-Annually,Direct Debit/Automatic Withdrawal,Renewed
PREM9332,CNT-CDP-8370-550,879-95-0564,8617,Annually,In-Person Payments,Renewed
PREM5269,CNT-CDP-9576-379,133-79-4272,3620,Semi-Annually,Phone Payments,Expired
PREM8268,CNT-CDP-4365-728,335-22-1485,150,Annually,Check,Lapsed
PREM9159,CNT-CDP-0052-515,793-09-2729,4618,Monthly,Mobile Payment Apps,Pending
PREM0855,CNT-CDP-9084-081,168-52-1435,8010,Querterly,Phone Payments,Overdue
PREM5861,CNT-CDP-4392-631,457-48-0419,1202,Semi-Annually,Credit or Debit Card,Active
PREM9664,CNT-CDP-0441-012,245-88-6897,8685,Monthly,Check,Active
PREM4181,CNT-CDP-8648-617,281-81-1398,9986,Monthly,Electronic Funds Transfer (EFT),Pending
PREM7101,CNT-CDP-8738-058,283-48-1886,2148,Semi-Annually,Mobile Payment Apps,Renewed
PREM1406,CNT-CDP-2255-039,204-89-0224,4303,Annually,Check,Active
PREM7903,CNT-CDP-5655-658,514-41-1595,79,Semi-Annually,Credit or Debit Card,Lapsed
PREM4819,CNT-CDP-3548-047,127-51-7648,5443,Semi-Annually,Mobile Payment Apps,Expired
PREM8772,CNT-CDP-6984-981,728-14-0129,108,Querterly,In-Person Payments,Lapsed
PREM3529,CNT-CDP-5737-022,885-30-2051,651,Monthly,Check,Active
PREM4170,CNT-CDP-2750-612,385-22-3959,5809,Annually,Phone Payments,Overdue
PREM3897,CNT-CDP-3716-837,726-09-9498,7841,Monthly,Electronic Funds Transfer (EFT),Cancelled
PREM0422,CNT-CDP-6641-080,505-12-3386,5662,Semi-Annually,Phone Payments,Renewed
PREM2812,CNT-CDP-0192-106,386-35-2129,1909,Querterly,Phone Payments,Lapsed
PREM2487,CNT-CDP-4602-854,129-65-4400,6215,Annually,Check,Renewed
PREM5147,CNT-CDP-4388-561,772-58-7916,5273,Monthly,Direct Debit/Automatic Withdrawal,Cancelled
PREM0573,CNT-CDP-8097-521,571-27-8259,9707,Semi-Annually,Credit or Debit Card,Expired
PREM6842,CNT-CDP-7045-592,842-33-0692,1426,Semi-Annually,In-Person Payments,Overdue
PREM7610,CNT-CDP-2186-658,785-51-7143,5431,Semi-Annually,In-Person Payments,Renewed
PREM0960,CNT-CDP-4581-349,541-57-2145,2122,Querterly,In-Person Payments,Expired
PREM5819,CNT-CDP-9213-941,446-41-6870,7980,Semi-Annually,In-Person Payments,Overdue
PREM9603,CNT-CDP-4726-769,309-64-6753,4724,Querterly,Phone Payments,Overdue
PREM2827,CNT-CDP-2779-510,364-43-2698,863,Annually,Credit or Debit Card,Lapsed
PREM3087,CNT-CDP-3520-881,240-36-3667,7431,Monthly,Direct Debit/Automatic Withdrawal,Renewed
PREM3946,CNT-CDP-3173-410,397-05-4780,5435,Annually,Credit or Debit Card,Cancelled
PREM9872,CNT-CDP-8773-843,444-86-0266,700,Annually,Phone Payments,Cancelled
PREM8226,CNT-CDP-7169-983,718-09-6017,9307,Monthly,Mobile Payment Apps,Pending
PREM7147,CNT-CDP-2082-812,441-45-4434,2353,Monthly,Online Payment Portals,Pending
PREM3439,CNT-CDP-7386-126,204-89-0224,6921,Querterly,Phone Payments,Cancelled
PREM3725,CNT-CDP-4112-553,839-73-6465,921,Querterly,Phone Payments,Active
PREM7626,CNT-CDP-9697-067,399-02-7593,2130,Monthly,Phone Payments,Expired
PREM1320,CNT-CDP-4874-154,130-44-9143,1869,Annually,Direct Debit/Automatic Withdrawal,Active
PREM8097,CNT-CDP-6274-187,397-69-2805,303,Monthly,Direct Debit/Automatic Withdrawal,Active
PREM6243,CNT-CDP-5417-947,774-26-8823,2232,Semi-Annually,In-Person Payments,Active
PREM5832,CNT-CDP-9534-381,859-29-5605,2027,Annually,Phone Payments,Pending
PREM5241,CNT-CDP-4874-503,102-21-1414,66,Querterly,In-Person Payments,Pending
PREM3510,CNT-CDP-0098-302,622-30-1101,6302,Semi-Annually,Direct Debit/Automatic Withdrawal,Suspended
PREM4708,CNT-CDP-6263-412,294-47-6704,9143,Semi-Annually,Check,Overdue
PREM1326,CNT-CDP-0031-259,405-95-7014,267,Querterly,Direct Debit/Automatic Withdrawal,Active
PREM3247,CNT-CDP-8023-432,749-97-9210,7171,Querterly,Direct Debit/Automatic Withdrawal,Expired
PREM8276,CNT-CDP-6266-128,528-47-4959,3332,Querterly,In-Person Payments,Cancelled
PREM9887,CNT-CDP-4605-615,511-63-3678,1577,Querterly,In-Person Payments,Renewed
PREM1795,CNT-CDP-6907-674,339-35-4231,1559,Monthly,Electronic Funds Transfer (EFT),Lapsed
PREM3199,CNT-CDP-9110-684,305-25-5939,1410,Annually,Check,Active
PREM9900,CNT-CDP-0111-389,472-83-8236,9311,Semi-Annually,Online Payment Portals,Lapsed
PREM0751,CNT-CDP-8572-047,122-55-4301,5664,Semi-Annually,Electronic Funds Transfer (EFT),Cancelled
PREM9260,CNT-CDP-0138-654,572-52-6215,3650,Querterly,Credit or Debit Card,Cancelled
PREM0871,CNT-CDP-0903-673,252-84-5848,8942,Monthly,In-Person Payments,Cancelled
PREM8057,CNT-CDP-5027-740,803-89-9048,7049,Annually,Phone Payments,Lapsed
PREM6395,CNT-CDP-4618-585,133-87-1780,9913,Monthly,Mobile Payment Apps,Overdue
PREM6643,CNT-CDP-6525-498,204-84-2965,3881,Querterly,Online Payment Portals,Renewed
PREM6009,CNT-CDP-9161-928,299-78-7188,913,Querterly,Direct Debit/Automatic Withdrawal,Expired
PREM7770,CNT-CDP-8768-613,364-25-4233,7485,Querterly,Check,Renewed
PREM8016,CNT-CDP-0320-619,815-54-1401,6729,Querterly,Phone Payments,Overdue
PREM1479,CNT-CDP-5333-521,261-11-1287,3416,Semi-Annually,Online Payment Portals,Suspended
PREM8735,CNT-CDP-6859-791,235-15-1117,5073,Semi-Annually,Direct Debit/Automatic Withdrawal,Overdue
PREM3198,CNT-CDP-3502-551,788-15-9864,1779,Querterly,Check,Expired
PREM9791,CNT-CDP-2493-116,107-63-1394,5876,Monthly,Direct Debit/Automatic Withdrawal,Overdue
PREM4451,CNT-CDP-6244-491,544-08-8528,928,Semi-Annually,Mobile Payment Apps,Cancelled
PREM7740,CNT-CDP-4435-896,384-51-6805,2631,Semi-Annually,Check,Pending
PREM0607,CNT-CDP-5770-589,674-28-9722,2948,Semi-Annually,Electronic Funds Transfer (EFT),Suspended
PREM1637,CNT-CDP-0745-264,823-30-1230,5865,Semi-Annually,Phone Payments,Renewed
PREM2442,CNT-CDP-9699-153,522-74-5310,4348,Monthly,Electronic Funds Transfer (EFT),Suspended
PREM6503,CNT-CDP-6185-150,235-15-1117,3775,Monthly,Mobile Payment Apps,Lapsed
PREM4604,CNT-CDP-2211-774,360-60-1633,861,Monthly,Mobile Payment Apps,Overdue
PREM9887,CNT-CDP-8625-924,882-39-2517,253,Querterly,Phone Payments,Pending
PREM0349,CNT-CDP-7073-735,143-46-2783,7511,Monthly,Online Payment Portals,Cancelled
PREM6642,CNT-CDP-5393-636,682-28-5156,8797,Semi-Annually,Electronic Funds Transfer (EFT),Active
PREM5002,CNT-CDP-3538-331,728-88-9032,9695,Monthly,Check,Lapsed
PREM7577,CNT-CDP-2186-658,785-51-7143,5095,Monthly,Check,Expired
PREM7886,CNT-CDP-1820-045,894-74-3017,911,Querterly,Online Payment Portals,Expired
PREM4985,CNT-CDP-4472-033,498-96-5310,9092,Querterly,Credit or Debit Card,Renewed
PREM4685,CNT-CDP-9251-365,576-22-8234,1024,Semi-Annually,Direct Debit/Automatic Withdrawal,Suspended
PREM6172,CNT-CDP-8627-277,295-17-0041,7911,Monthly,Phone Payments,Expired
PREM2809,CNT-CDP-6274-187,397-69-2805,1326,Semi-Annually,Mobile Payment Apps,Renewed
PREM1327,CNT-CDP-3592-132,852-44-3113,3941,Annually,Direct Debit/Automatic Withdrawal,Pending
PREM2404,CNT-CDP-2846-703,290-40-6634,9197,Monthly,Phone Payments,Suspended
PREM9417,CNT-CDP-2652-622,347-30-3861,4165,Querterly,Direct Debit/Automatic Withdrawal,Lapsed
PREM6959,CNT-CDP-7460-400,729-52-4503,2522,Monthly,Online Payment Portals,Pending
PREM2139,CNT-CDP-6475-694,107-22-6715,3014,Semi-Annually,Online Payment Portals,Renewed
PREM6911,CNT-CDP-2482-116,425-60-9329,649,Querterly,Check,Cancelled
PREM8749,CNT-CDP-5491-579,729-52-4503,8703,Annually,Phone Payments,Active
PREM3076,CNT-CDP-6359-891,268-99-3106,8674,Querterly,Mobile Payment Apps,Pending
PREM4517,CNT-CDP-1686-121,743-99-0167,3588,Querterly,Credit or Debit Card,Renewed
PREM2089,CNT-CDP-7755-654,640-73-8121,6913,Querterly,Electronic Funds Transfer (EFT),Pending
PREM1067,CNT-CDP-1132-893,339-05-1707,5412,Monthly,Credit or Debit Card,Renewed
PREM4695,CNT-CDP-8916-844,176-91-5939,929,Monthly,Online Payment Portals,Active
PREM8008,CNT-CDP-4885-368,522-74-3333,4482,Monthly,Check,Active
PREM6179,CNT-CDP-7719-845,326-82-9096,8228,Annually,In-Person Payments,Overdue
PREM0929,CNT-CDP-7695-110,886-25-5637,4236,Querterly,Mobile Payment Apps,Cancelled
PREM0124,CNT-CDP-6476-370,699-90-2611,5752,Semi-Annually,Mobile Payment Apps,Expired
PREM7073,CNT-CDP-8383-950,749-97-9210,4457,Semi-Annually,Credit or Debit Card,Overdue
PREM8914,CNT-CDP-6380-002,382-44-9399,6988,Annually,Credit or Debit Card,Pending
PREM9659,CNT-CDP-1769-166,882-29-5174,5250,Querterly,Electronic Funds Transfer (EFT),Suspended
PREM5694,CNT-CDP-0192-106,386-35-2129,9400,Querterly,Direct Debit/Automatic Withdrawal,Lapsed
PREM9869,CNT-CDP-8090-667,736-72-4628,10,Annually,In-Person Payments,Renewed
PREM7664,CNT-CDP-7526-443,550-33-5183,1174,Monthly,Mobile Payment Apps,Suspended
PREM4295,CNT-CDP-3801-216,499-72-2020,2995,Querterly,Credit or Debit Card,Cancelled
PREM8266,CNT-CDP-5745-522,793-09-2729,7684,Monthly,Credit or Debit Card,Pending
PREM7858,CNT-CDP-4368-704,185-30-3761,7777,Semi-Annually,Check,Overdue
PREM8390,CNT-CDP-2968-518,707-70-2974,4908,Semi-Annually,Direct Debit/Automatic Withdrawal,Active
PREM4597,CNT-CDP-5492-471,549-08-3325,3328,Monthly,Credit or Debit Card,Overdue
PREM4103,CNT-CDP-2425-737,176-29-9474,2243,Annually,In-Person Payments,Overdue
PREM0637,CNT-CDP-3930-792,674-10-7843,6217,Semi-Annually,Electronic Funds Transfer (EFT),Cancelled
PREM2798,CNT-CDP-5503-541,842-33-0692,8567,Querterly,Credit or Debit Card,Expired
PREM1849,CNT-CDP-1813-013,831-61-9528,7621,Monthly,Phone Payments,Renewed
PREM0251,CNT-CDP-6368-860,568-30-1434,1092,Semi-Annually,Electronic Funds Transfer (EFT),Active
PREM1465,CNT-CDP-8780-023,108-98-3421,6524,Semi-Annually,Mobile Payment Apps,Lapsed
PREM9285,CNT-CDP-8625-924,882-39-2517,4100,Semi-Annually,Online Payment Portals,Suspended
PREM7808,CNT-CDP-8019-639,443-29-7883,4557,Annually,Mobile Payment Apps,Suspended
PREM6816,CNT-CDP-1981-727,585-97-5767,1917,Monthly,Check,Cancelled
PREM9232,CNT-CDP-1352-509,239-46-5126,8786,Querterly,Online Payment Portals,Pending
PREM6657,CNT-CDP-5443-289,887-07-8129,8295,Annually,Mobile Payment Apps,Lapsed
PREM2731,CNT-CDP-6240-985,705-52-1530,1445,Semi-Annually,Credit or Debit Card,Pending
PREM0706,CNT-CDP-7896-678,349-62-6503,9737,Querterly,Direct Debit/Automatic Withdrawal,Renewed
PREM1477,CNT-CDP-2548-369,568-17-3551,3864,Semi-Annually,In-Person Payments,Renewed
PREM9896,CNT-CDP-2283-636,469-18-8371,6049,Annually,In-Person Payments,Active
PREM4496,CNT-CDP-0059-008,845-85-8761,3486,Annually,Phone Payments,Active
PREM4957,CNT-CDP-6784-885,126-23-8300,950,Semi-Annually,Mobile Payment Apps,Active
PREM2097,CNT-CDP-1557-690,335-22-1485,3762,Querterly,In-Person Payments,Cancelled
PREM4075,CNT-CDP-2255-039,204-89-0224,7634,Monthly,Online Payment Portals,Suspended
PREM3642,CNT-CDP-1544-181,822-84-5975,5394,Annually,Phone Payments,Renewed
PREM4709,CNT-CDP-2701-653,789-23-6374,7613,Querterly,Online Payment Portals,Overdue
PREM8415,CNT-CDP-5622-270,793-39-8139,2457,Querterly,Credit or Debit Card,Suspended
PREM6975,CNT-CDP-6472-018,454-59-9255,2438,Monthly,Check,Overdue
PREM6834,CNT-CDP-3042-244,117-05-3734,3291,Querterly,Electronic Funds Transfer (EFT),Suspended
PREM2629,CNT-CDP-6059-553,253-85-8722,9517,Monthly,Phone Payments,Suspended
PREM9244,CNT-CDP-0453-769,769-30-2685,2232,Querterly,Phone Payments,Overdue
PREM5476,CNT-CDP-6819-140,875-38-2089,9656,Semi-Annually,Direct Debit/Automatic Withdrawal,Pending
PREM0318,CNT-CDP-0608-681,684-49-6147,6886,Annually,Check,Expired
PREM1654,CNT-CDP-0012-149,157-96-5213,4432,Semi-Annually,Check,Overdue
PREM0301,CNT-CDP-1384-365,341-22-7806,2170,Monthly,Credit or Debit Card,Overdue
PREM5182,CNT-CDP-6744-919,758-28-3233,5763,Monthly,In-Person Payments,Cancelled
PREM9023,CNT-CDP-9033-520,630-51-1682,4647,Annually,In-Person Payments,Suspended
PREM6861,CNT-CDP-7695-110,886-25-5637,9511,Semi-Annually,In-Person Payments,Renewed
PREM1518,CNT-CDP-7969-902,589-94-4692,1810,Querterly,Mobile Payment Apps,Pending
PREM2778,CNT-CDP-2140-742,787-25-1617,9336,Annually,Mobile Payment Apps,Lapsed
PREM8092,CNT-CDP-9195-527,102-02-5320,2933,Semi-Annually,Phone Payments,Pending
PREM6015,CNT-CDP-5550-244,730-09-8648,4066,Annually,Credit or Debit Card,Lapsed
PREM6849,CNT-CDP-7089-233,400-01-7648,195,Semi-Annually,In-Person Payments,Cancelled
PREM2486,CNT-CDP-3475-220,568-17-3551,3436,Annually,Online Payment Portals,Pending
PREM0965,CNT-CDP-5847-992,348-24-6506,8662,Annually,Direct Debit/Automatic Withdrawal,Pending
PREM6386,CNT-CDP-0288-826,803-89-9048,3133,Semi-Annually,Mobile Payment Apps,Active
PREM5861,CNT-CDP-0551-871,576-62-9974,6637,Querterly,Electronic Funds Transfer (EFT),Renewed
PREM1545,CNT-CDP-4475-174,758-28-3233,8982,Monthly,Electronic Funds Transfer (EFT),Suspended
PREM6987,CNT-CDP-0059-008,845-85-8761,8582,Querterly,Online Payment Portals,Expired
PREM9038,CNT-CDP-8459-406,143-46-2783,2593,Querterly,Credit or Debit Card,Suspended
PREM4556,CNT-CDP-4716-686,350-82-8206,113,Annually,Direct Debit/Automatic Withdrawal,Renewed
PREM0400,CNT-CDP-1484-935,832-63-4875,1721,Querterly,Online Payment Portals,Overdue
PREM9963,CNT-CDP-0530-984,762-49-1943,3011,Querterly,Online Payment Portals,Pending
PREM9547,CNT-CDP-8758-759,502-99-6386,9209,Annually,In-Person Payments,Overdue
PREM1825,CNT-CDP-3189-415,398-74-8575,9970,Monthly,Direct Debit/Automatic Withdrawal,Active
PREM9229,CNT-CDP-6362-620,572-26-6323,4452,Monthly,Electronic Funds Transfer (EFT),Suspended
PREM0215,CNT-CDP-6440-083,371-43-5754,400,Monthly,In-Person Payments,Cancelled
PREM0731,CNT-CDP-7928-952,444-86-0266,1514,Semi-Annually,Check,Cancelled
PREM9569,CNT-CDP-7874-672,688-54-3391,7032,Semi-Annually,In-Person Payments,Active
PREM6597,CNT-CDP-3373-296,379-80-0956,3756,Querterly,Direct Debit/Automatic Withdrawal,Suspended
PREM6548,CNT-CDP-1201-052,815-75-7291,5544,Querterly,Mobile Payment Apps,Expired
PREM7138,CNT-CDP-3311-950,335-18-2624,7779,Semi-Annually,Electronic Funds Transfer (EFT),Pending
PREM9723,CNT-CDP-9768-397,205-47-8030,8053,Querterly,Credit or Debit Card,Renewed
PREM7573,CNT-CDP-6805-890,742-02-5983,927,Semi-Annually,Mobile Payment Apps,Overdue
PREM4301,CNT-CDP-4112-553,839-73-6465,6894,Annually,Electronic Funds Transfer (EFT),Renewed
PREM8393,CNT-CDP-9640-675,126-86-4015,6014,Semi-Annually,Electronic Funds Transfer (EFT),Pending
PREM8043,CNT-CDP-8822-651,332-50-8142,7928,Monthly,Electronic Funds Transfer (EFT),Overdue
PREM7810,CNT-CDP-9629-903,706-92-3972,4629,Semi-Annually,Online Payment Portals,Pending
PREM7837,CNT-CDP-9548-714,855-49-6195,21,Semi-Annually,Phone Payments,Cancelled
PREM8535,CNT-CDP-7072-802,384-12-1031,5218,Semi-Annually,Mobile Payment Apps,Overdue
PREM5342,CNT-CDP-1652-944,364-56-0809,4807,Querterly,Credit or Debit Card,Pending
PREM0686,CNT-CDP-2283-636,469-18-8371,2083,Annually,Credit or Debit Card,Expired
PREM2245,CNT-CDP-4697-713,821-33-0882,2015,Semi-Annually,In-Person Payments,Lapsed
PREM7807,CNT-CDP-5381-536,785-80-4695,1633,Querterly,Credit or Debit Card,Pending
PREM6310,CNT-CDP-1271-220,405-95-7014,5838,Annually,Check,Renewed
