BAcctNumber,AcctNumber,BillingStreet,BillingAptNo,BillingZip,BillingPhone,BillingMethod,OnlineBillingFlag,CoverageType,LastInvoiceGenDate,LastInvoicePaidDueDate,LastInvoicePaidDate,LastBillCount,NextInvoiceGenDate,CardType,CardNo,CardExpirationDate,BankingAccountType,BankingAccountNumber,PaymentAmount,PaymentDate,AccountEstablishedDate
BILL760301121,ACC816700091,3982 7th Drive,1,15210,573-511-8963,Coinsurance,F,High Deductible Health Plan (HDHP),7/10/2018,4/6/2019,7/23/2022,20,9/11/2021,diners-club-enroute,201692291104538,1/4/2027,Retirement Account,cfzksnk,15.7,10/4/2017,10/28/2014
BILL596348505,ACC729458927,65283 Cascade Park,43,78710,326-736-1385,Third-Party Billing,T,Tricare (Military Health Care),1/30/2013,11/24/2017,2/21/2024,24,2/1/2017,jcb,3530810493904259,6/2/2024,Savings Account,ttzpwsj,321.05,11/21/2014,6/29/2013
BILL655953543,ACC834886968,95683 Schurz Place,7,64136,934-421-3821,Time-Based Billing,T,Short-Term Health Insurance,9/9/2016,5/18/2023,12/20/2019,26,11/15/2018,mastercard,5100130204087384,9/25/2028,Loan Account,pezhoax,445.96,4/12/2020,4/13/2010
BILL703956418,ACC351910374,05 Summit Way,38,95828,799-904-9672,Co-Payment,T,Maternity Coverage,9/13/2012,9/23/2023,7/11/2020,39,12/10/2013,jcb,3580556522092207,7/19/2029,Savings Account,pamecvs,124.05,6/10/2017,11/2/2014
BILL162883165,ACC848973099,3 Farragut Hill,24,61651,226-637-0222,Per Diem,T,Consumer-Driven Health Plan (CDHP),1/31/2014,11/19/2016,11/12/2020,31,7/17/2019,china-unionpay,5602236024445844,1/17/2027,Retirement Account,yoyljjj,231.8,8/28/2015,12/31/2016
BILL978885033,ACC036724362,3 Donald Terrace,7,01905,904-244-2553,Bundled Payments,F,Critical Illness Insurance,3/1/2015,8/20/2022,12/3/2021,27,11/18/2016,jcb,3568332112177600,10/6/2024,Credit Account,cwzteew,929.66,3/15/2011,9/22/2014
BILL852860608,ACC950197984,1 Sunnyside Court,23,27415,446-999-0350,Self-Pay,F,Accident Insurance,5/29/2012,11/7/2023,1/29/2022,43,1/30/2022,bankcard,5602241910996793,2/22/2025,Investment Account,juvhyro,824.8,4/26/2019,11/17/2015
BILL457678288,ACC166857565,6 Holy Cross Pass,30,80150,731-823-8282,Co-Payment,F,Catastrophic Health Insurance,2/24/2021,1/24/2022,8/19/2022,23,7/26/2023,jcb,3542218632010150,12/17/2028,Certificate of Deposit (CD),jqratnv,617.31,10/18/2019,9/8/2014
BILL757675547,ACC842639557,39 Sachtjen Avenue,26,33543,867-687-5543,Resource-Based Relative Value Scale (RBRVS),F,Point of Service (POS),12/7/2011,1/4/2024,11/15/2021,32,8/4/2019,jcb,3589825464883993,5/16/2029,Loan Account,zgpojar,669.98,3/26/2015,1/3/2012
BILL645084780,ACC796545355,3 Dayton Pass,24,95194,451-284-9115,Sliding Scale,T,Medicare,5/19/2014,5/4/2023,2/13/2017,32,10/27/2022,jcb,3541963710405621,8/25/2029,Savings Account,uyovmzu,772.29,7/30/2014,7/14/2014
BILL138896412,ACC409052210,5 Weeping Birch Center,10,94164,371-159-0199,Third-Party Billing,T,Long-Term Care Insurance,3/23/2017,12/22/2022,2/6/2021,43,2/15/2019,jcb,3578436302815388,9/20/2028,Savings Account,ypfalbh,967.44,12/10/2014,6/3/2021
BILL979812750,ACC441438746,36614 Algoma Parkway,48,35487,807-372-3377,Co-Payment,T,Medicare,1/20/2015,5/30/2024,1/5/2018,23,9/30/2016,visa-electron,4844280407811660,1/25/2027,Retirement Account,lfvvzba,384.72,12/16/2018,1/6/2016
BILL325930472,ACC707550759,0742 Thierer Point,24,29805,175-788-9525,Self-Pay,F,Critical Illness Insurance,6/22/2010,10/8/2011,4/19/2013,32,1/24/2013,jcb,3548370790314439,6/16/2029,Loan Account,ksxeorr,610.56,7/21/2015,7/6/2016
BILL546080145,ACC710599079,45 Gina Center,27,78715,512-972-2709,Deductible,T,Point of Service (POS),8/27/2021,10/19/2023,2/5/2024,50,5/28/2022,jcb,3556212131934773,1/2/2027,Certificate of Deposit (CD),zbnomxc,680.13,2/4/2011,3/14/2018
BILL572900413,ACC701677859,036 Linden Way,18,97271,294-759-4274,Shared Savings,F,Veterans Health Administration (VA),2/10/2014,8/4/2017,4/7/2015,42,11/14/2017,instapayment,6377042962281139,11/1/2025,Credit Account,mehgzai,273.28,4/3/2019,9/1/2012
BILL200708748,ACC489916304,81 Marquette Trail,2,30375,402-460-9797,Resource-Based Relative Value Scale (RBRVS),F,Accident Insurance,9/14/2010,7/27/2017,4/28/2018,48,10/8/2021,americanexpress,373931514229181,7/16/2024,Savings Account,fmlsvad,343.91,10/4/2011,2/14/2013
BILL985100707,ACC692395832,698 Sullivan Court,38,39296,855-938-8131,Self-Pay,F,Medicaid,3/21/2018,6/30/2023,6/7/2020,28,2/28/2022,jcb,3585284686654721,10/13/2024,Credit Account,pcmlvry,583.72,11/4/2020,2/1/2012
BILL330664477,ACC572763870,3981 Carpenter Hill,49,28210,790-379-3638,Direct Billing,F,Substance Abuse Treatment Coverage,5/29/2015,5/9/2024,3/6/2020,19,11/18/2021,americanexpress,337941949874191,12/13/2028,Retirement Account,mrrtmrj,191.38,12/10/2014,7/2/2016
BILL986307565,ACC331469568,9 Welch Center,6,32835,820-929-0504,Global Budgeting,T,Medicare,4/14/2015,6/24/2023,9/2/2015,1,7/13/2019,maestro,58932085610138994,12/23/2027,Loan Account,mpaptpj,334.92,8/1/2019,9/24/2012
BILL024039285,ACC620628090,59349 4th Parkway,22,33705,189-933-0407,Third-Party Billing,F,Accident Insurance,12/4/2012,2/20/2015,4/17/2018,48,11/20/2018,laser,6706470017137570,7/10/2029,Checking Account,oncidfj,865.45,12/4/2021,2/21/2020
BILL191075574,ACC571130607,081 Mayfield Terrace,22,33763,467-775-1743,Value-Based Reimbursement,F,Medicaid,11/18/2014,10/27/2015,3/15/2015,5,11/15/2021,bankcard,5602250634978912,11/29/2024,Credit Account,yyjjsth,466.33,12/6/2010,9/11/2020
BILL240412404,ACC677826973,8 Raven Circle,25,32309,141-333-5806,Diagnosis-Related Group (DRG),T,Medicaid,8/8/2012,1/19/2023,6/26/2024,16,10/25/2019,jcb,3538449785338439,7/9/2026,Checking Account,llkpaox,624.29,12/22/2014,7/29/2018
BILL848283152,ACC852826794,84 Hauk Crossing,44,27605,295-623-1593,Diagnosis-Related Group (DRG),F,Health Maintenance Organization (HMO),4/11/2017,4/12/2022,1/23/2018,12,11/26/2023,jcb,3585816020506495,10/8/2025,Credit Account,tkkznyt,535.32,7/12/2019,5/5/2017
BILL758249453,ACC662835179,680 Moulton Alley,23,80310,755-996-1371,Deductible,F,Catastrophic Health Insurance,12/21/2015,8/7/2022,12/15/2018,49,8/18/2017,diners-club-carte-blanche,30222067952782,10/10/2028,Credit Account,asbvkrl,725.89,6/18/2012,2/3/2012
BILL598113647,ACC845224668,51070 Brown Drive,22,25721,281-160-5056,Out-of-Pocket,T,Medicare,12/27/2014,7/5/2019,11/13/2019,16,8/24/2019,visa-electron,4405604528545561,8/25/2027,Savings Account,mfqsibs,315.53,10/14/2011,11/13/2014
BILL023713343,ACC465361345,9912 Pearson Point,41,25331,939-863-1896,Electronic Billing,F,Dental Insurance,4/4/2014,2/7/2021,11/1/2017,36,9/1/2016,americanexpress,372301374116202,1/9/2026,Credit Account,mwzjfip,916.23,1/31/2019,2/23/2020
BILL364359851,ACC996863098,98216 Colorado Plaza,1,61605,757-665-6514,Diagnosis-Related Group (DRG),T,Health Maintenance Organization (HMO),5/11/2012,7/28/2023,5/23/2021,34,3/15/2019,diners-club-carte-blanche,30245068369482,2/18/2025,Checking Account,hpncgvd,693.03,2/14/2010,1/14/2020
BILL670941128,ACC573636319,176 Tony Pass,10,44905,337-728-5693,Time-Based Billing,T,Exclusive Provider Organization (EPO),1/3/2011,5/25/2019,9/15/2015,28,1/22/2021,jcb,3588984755814422,12/1/2027,Savings Account,lejfite,82.99,10/29/2018,5/15/2015
BILL723869269,ACC419075574,6695 Burning Wood Way,44,30130,182-113-3486,Per Diem,T,Prescription Drug Coverage,2/2/2015,4/22/2024,6/5/2023,8,9/21/2015,switch,4903259060884188,12/28/2029,Certificate of Deposit (CD),bxypcwp,231.3,7/23/2010,9/2/2015
BILL595260975,ACC482118148,8 Glendale Drive,41,32123,529-559-5237,Time-Based Billing,T,Children's Health Insurance Program (CHIP),3/5/2019,1/30/2022,7/12/2022,21,1/11/2020,jcb,3584020569547157,12/7/2026,Checking Account,xjygust,327.09,11/29/2021,11/9/2016
BILL140989433,ACC310050900,25258 Warbler Plaza,16,63131,148-762-4466,Capitation,T,Maternity Coverage,1/21/2011,12/28/2016,8/14/2019,13,5/5/2016,instapayment,6385497008384257,9/10/2027,Checking Account,lwalygu,759.76,2/2/2013,5/24/2015
BILL644052963,ACC446197130,36634 Talisman Pass,22,33180,610-115-8518,Prospective Payment System,T,Disability Insurance,12/19/2014,1/26/2016,5/10/2017,28,5/16/2024,jcb,3572118295892964,3/21/2026,Credit Account,rfhulxi,359.45,8/29/2019,3/19/2018
BILL806454729,ACC015967971,3187 Shoshone Road,29,92110,576-765-7457,Prospective Payment System,F,Dental Insurance,8/26/2015,7/11/2023,6/21/2017,10,4/2/2019,jcb,3541905776898140,8/3/2025,Loan Account,ksgbszf,20.78,12/24/2021,10/19/2017
BILL402978247,ACC375583310,7753 Gulseth Plaza,17,10275,854-820-1238,Bundled Payments,F,Health Savings Account (HSA)-eligible plan,2/7/2021,9/7/2023,12/2/2023,31,4/2/2022,mastercard,5108753533369108,3/23/2027,Loan Account,jnimhiz,308.02,3/18/2012,10/21/2013
BILL066044412,ACC312023548,8 Manitowish Hill,35,85072,639-764-0918,Self-Pay,T,Fee-for-Service (FFS),10/19/2016,8/18/2019,3/6/2022,44,2/6/2024,americanexpress,374622460862781,12/30/2025,Investment Account,sqicgob,860.02,7/24/2017,12/29/2017
BILL043635421,ACC949118580,0786 Schurz Lane,27,37131,584-229-1214,Capitation,F,Point of Service (POS),8/4/2021,9/20/2022,12/31/2023,24,4/8/2024,visa,4609354050173697,5/28/2029,Credit Account,phbyjkd,850.09,4/27/2019,2/28/2013
BILL425001577,ACC814828872,3 Linden Pass,34,46295,785-423-8635,Fee-for-Service,T,Health Savings Account (HSA)-eligible plan,12/21/2020,9/23/2023,11/5/2021,29,7/12/2024,jcb,3565605443270142,3/2/2028,Savings Account,qyrlisw,848.48,2/17/2018,5/7/2013
BILL859336067,ACC850051434,80177 Graedel Hill,4,24503,215-516-3063,Sliding Scale,F,Indemnity Plan,9/9/2019,8/25/2023,7/19/2021,4,3/21/2022,mastercard,5396199920474633,10/7/2026,Investment Account,fmzimqq,681.5,5/21/2015,12/2/2011
BILL678294889,ACC583647446,938 American Lane,12,80910,102-382-5907,Electronic Billing,F,Flexible Spending Account (FSA)-eligible plan,5/9/2017,10/18/2017,1/4/2024,45,1/11/2022,china-unionpay,5602216026502719,6/7/2025,Investment Account,wfiugmi,598.24,2/17/2014,3/10/2010
BILL982959406,ACC706733717,20 Hoffman Lane,22,33069,700-378-2641,Co-Payment,T,Maternity Coverage,9/14/2016,8/1/2021,7/6/2019,44,11/18/2023,americanexpress,377768158689189,11/7/2029,Certificate of Deposit (CD),rvlyhxn,371.65,2/16/2016,3/7/2013
BILL221381715,ACC425898971,3556 Cardinal Parkway,29,93907,627-388-2104,Global Budgeting,T,Point of Service (POS),1/11/2010,5/6/2022,12/29/2013,31,5/20/2017,laser,6706572866771514898,1/29/2025,Credit Account,ciqfwoq,242.73,8/14/2013,6/27/2021
BILL428413789,ACC648543918,50465 Bellgrove Pass,12,35236,482-696-5676,Coinsurance,F,Tricare (Military Health Care),6/11/2018,7/30/2019,10/5/2020,47,7/20/2022,maestro,6763674240034031207,3/3/2027,Retirement Account,fnrwgww,517.65,2/19/2021,3/8/2011
BILL554760333,ACC389158671,71 Hazelcrest Junction,8,03804,228-530-8476,Co-Payment,F,Critical Illness Insurance,5/13/2012,12/7/2020,10/27/2021,25,1/27/2014,jcb,3572510072077654,5/18/2026,Investment Account,vzwwguq,805.85,10/8/2014,10/17/2015
BILL251165278,ACC749239584,0038 Vermont Court,44,85305,494-650-1394,Bundled Payments,T,International Health Insurance,10/16/2021,3/15/2023,10/24/2022,23,6/28/2022,jcb,3579409125803450,6/12/2027,Checking Account,tflbvgv,273.29,9/4/2016,2/5/2011
BILL566029220,ACC401654072,70 Myrtle Park,10,60652,536-694-0126,Deductible,F,Tricare (Military Health Care),11/16/2018,5/12/2023,1/14/2023,17,4/20/2019,instapayment,6387969936505334,6/1/2029,Certificate of Deposit (CD),dkkiatf,666.75,10/21/2021,3/26/2018
BILL929294972,ACC066472389,01 Warbler Court,31,35225,917-258-3161,Coinsurance,F,Health Maintenance Organization (HMO),1/4/2016,1/14/2024,11/27/2017,9,11/2/2018,jcb,3564436344091796,11/30/2028,Credit Account,iyfspxi,460.15,6/14/2012,1/27/2016
BILL694528259,ACC926686229,8072 Fairfield Parkway,30,32610,827-835-7345,Co-Payment,F,Indemnity Plan,10/8/2020,1/20/2022,10/18/2021,9,1/4/2021,mastercard,5361649830404824,9/7/2026,Checking Account,egyonfy,53.61,5/11/2017,11/18/2012
BILL187919183,ACC966543241,5 Rusk Junction,34,99709,603-514-4180,Electronic Billing,F,Medicaid,11/6/2013,9/2/2014,12/4/2013,13,12/12/2017,jcb,3549826508348331,10/9/2029,Retirement Account,ctezrxi,164.94,11/13/2015,6/24/2011
BILL176230375,ACC927792028,5679 Weeping Birch Trail,49,46814,664-785-9768,Third-Party Billing,T,Medicare,4/26/2011,2/14/2023,5/11/2012,19,11/21/2021,visa-electron,4844132977170490,10/26/2027,Credit Account,rdglpvm,825.41,10/17/2018,6/28/2019
BILL580823093,ACC726942101,8 Garrison Drive,33,33436,303-697-4575,Time-Based Billing,T,Dental Insurance,4/5/2017,5/15/2021,7/20/2023,16,6/25/2022,bankcard,5602214530083755,9/25/2024,Retirement Account,qerjfhi,28.96,1/10/2016,5/2/2013
BILL418852962,ACC947843129,349 Everett Way,8,37131,708-649-6992,Out-of-Pocket,T,Exclusive Provider Organization (EPO),2/10/2019,3/24/2023,6/27/2023,7,7/25/2019,diners-club-carte-blanche,30366070560866,7/27/2024,Investment Account,xstipku,710.8,11/2/2013,1/13/2021
BILL624768677,ACC997715305,0 Farmco Court,47,02124,136-227-4711,Global Budgeting,F,Fee-for-Service (FFS),2/21/2020,12/2/2023,8/8/2021,26,1/30/2022,americanexpress,374288570198480,3/13/2029,Savings Account,vpwlppr,298.02,9/8/2017,9/27/2018
BILL419342769,ACC775845115,35855 Dahle Alley,15,17110,220-720-1411,Third-Party Billing,F,Supplemental Insurance,6/8/2019,4/8/2024,1/26/2022,24,3/24/2020,diners-club-enroute,201880471602062,8/16/2024,Savings Account,nrqddha,650.08,1/5/2014,12/9/2010
BILL583377361,ACC497140591,91 Debs Park,2,19495,586-302-9771,Third-Party Billing,F,Substance Abuse Treatment Coverage,3/11/2017,7/23/2022,8/5/2023,32,4/2/2023,diners-club-enroute,201501479127270,3/10/2024,Checking Account,rjcfknh,88.1,7/18/2020,7/27/2020
BILL294599128,ACC770361634,87 Moulton Court,49,32610,570-366-2379,Per Diem,T,Consumer-Driven Health Plan (CDHP),2/17/2019,3/28/2024,9/6/2022,5,1/17/2024,jcb,3578841370753538,4/10/2026,Retirement Account,jmfhzny,625.76,11/13/2011,4/19/2021
BILL312422901,ACC618173173,9580 Harbort Plaza,28,61605,530-996-5541,Third-Party Billing,F,Consumer-Driven Health Plan (CDHP),7/4/2017,1/23/2018,1/17/2018,18,7/25/2024,mastercard,5100144072499001,3/4/2025,Credit Account,ywjualg,136.76,9/14/2012,9/15/2012
BILL442045782,ACC909068284,69 Thierer Alley,36,14233,139-680-8224,Value-Based Reimbursement,T,Tricare (Military Health Care),7/12/2021,3/25/2024,4/24/2024,2,5/13/2024,diners-club-carte-blanche,30091433771162,10/17/2026,Checking Account,ioysjfs,726.18,9/12/2010,10/30/2021
BILL434670094,ACC718268850,3083 Dixon Road,36,02163,555-757-7480,Direct Billing,F,Consumer-Driven Health Plan (CDHP),7/29/2012,9/18/2019,11/14/2013,42,8/30/2015,diners-club-carte-blanche,30267771409595,6/19/2028,Investment Account,tuzeaaj,711.91,7/14/2021,5/30/2010
BILL860168359,ACC232550059,7 Farwell Parkway,26,79911,904-295-8784,Global Budgeting,F,Medicare,11/23/2015,7/4/2022,8/11/2024,3,5/28/2022,visa-electron,4175006430054807,1/14/2026,Investment Account,sabutnt,477.78,10/21/2019,2/14/2012
BILL407557450,ACC482118148,56753 Sycamore Hill,43,85015,200-325-8991,Value-Based Reimbursement,F,Accident Insurance,6/29/2016,8/23/2022,7/20/2022,18,10/18/2016,diners-club-carte-blanche,30389621769257,5/4/2028,Retirement Account,eysooet,240.75,11/20/2014,11/9/2016
BILL775213660,ACC975646664,0171 Summerview Point,40,17110,121-289-4791,Direct Billing,T,Travel Health Insurance,11/23/2018,4/4/2021,3/13/2020,15,10/22/2019,jcb,3540453506919895,1/8/2028,Investment Account,dmquqio,217.87,5/6/2020,4/19/2010
BILL740347615,ACC786160629,45 Anniversary Place,32,43605,122-796-2672,Sliding Scale,T,Travel Health Insurance,3/1/2013,1/28/2022,5/7/2020,32,9/25/2023,switch,490332922487976679,4/12/2027,Credit Account,mhnkwvr,931.43,2/9/2020,11/19/2019
BILL211248090,ACC730981357,14020 1st Center,2,60641,906-326-0029,Per Diem,T,Mental Health Coverage,10/11/2019,5/28/2022,12/4/2022,17,12/25/2023,switch,5641829153787839,4/27/2025,Loan Account,ipwtoyp,559.14,4/3/2016,6/9/2020
BILL915120219,ACC470377810,8784 Valley Edge Parkway,23,10110,182-928-2005,Time-Based Billing,T,Preferred Provider Organization (PPO),8/4/2018,12/2/2021,4/19/2020,30,7/18/2020,maestro,502040020147145556,3/19/2029,Certificate of Deposit (CD),poswcon,121.31,11/13/2012,9/6/2016
BILL217927913,ACC614339883,65076 Reinke Road,40,68124,538-981-4802,Resource-Based Relative Value Scale (RBRVS),T,Tricare (Military Health Care),1/31/2013,2/16/2014,7/6/2024,50,9/20/2023,bankcard,5602211230231767,8/6/2024,Loan Account,bokyuxi,641.58,9/28/2015,12/29/2016
BILL594274185,ACC328965999,97 Northwestern Hill,13,33111,366-118-8084,Self-Pay,T,Veterans Health Administration (VA),10/3/2013,7/13/2020,1/5/2022,37,6/9/2015,jcb,3532176959418533,7/26/2027,Checking Account,voefdzq,16.61,7/5/2012,9/24/2016
BILL844779511,ACC323820610,60 Burning Wood Point,20,32526,480-679-2034,Direct Billing,F,Catastrophic Health Insurance,1/29/2011,4/6/2024,10/17/2012,18,7/28/2017,switch,5641828307728441895,12/27/2028,Certificate of Deposit (CD),lppahzf,392.19,11/17/2018,8/24/2018
BILL974351109,ACC265026339,2965 Fisk Trail,40,80995,897-932-7764,Shared Savings,F,Substance Abuse Treatment Coverage,6/26/2019,6/13/2022,3/31/2024,50,10/1/2021,instapayment,6374451982057796,1/25/2026,Checking Account,yvimmxg,735.46,5/8/2014,9/1/2017
BILL113688829,ACC663583806,5774 Lerdahl Circle,45,31914,601-409-4724,Bundled Payments,F,Mental Health Coverage,3/10/2016,6/14/2021,8/27/2020,2,9/14/2021,jcb,3583924776932691,11/25/2024,Investment Account,kznfoed,162.6,5/19/2016,8/10/2021
BILL048311856,ACC402059699,53163 Talisman Lane,25,89145,551-542-6695,Global Budgeting,F,Exclusive Provider Organization (EPO),1/7/2012,7/6/2018,10/5/2012,50,3/26/2018,jcb,3533492291459310,1/30/2024,Savings Account,hgpwjsz,922.19,12/16/2011,12/14/2016
BILL737046951,ACC532284882,7406 Forest Run Point,22,91109,140-909-1662,Fee-for-Service,F,Children's Health Insurance Program (CHIP),10/10/2021,7/14/2023,11/6/2021,19,2/1/2023,visa-electron,4913704009769568,12/28/2029,Savings Account,voozpgv,524.66,4/27/2012,7/11/2017
BILL032318515,ACC711919215,91225 Ludington Point,38,90405,764-933-7945,Third-Party Billing,F,Indemnity Plan,10/5/2017,11/6/2019,2/8/2018,22,4/15/2023,maestro,6304398483484554,7/26/2024,Credit Account,rfphnig,935.62,4/20/2013,3/21/2018
BILL868538552,ACC602173480,28 Fallview Street,11,10125,305-372-9234,Out-of-Pocket,T,Preferred Provider Organization (PPO),1/29/2011,9/6/2013,4/24/2018,47,7/6/2019,diners-club-carte-blanche,30388645061295,8/11/2029,Certificate of Deposit (CD),ecyrdvv,53.0,2/28/2011,9/5/2010
BILL708485167,ACC133742006,9 Steensland Trail,24,90076,992-391-5036,Coinsurance,T,Preferred Provider Organization (PPO),2/14/2021,2/1/2023,9/25/2023,31,2/13/2023,diners-club-enroute,201954789456659,8/22/2027,Checking Account,qpdepeo,77.24,8/27/2016,9/7/2011
BILL340916604,ACC707550759,3 Petterle Parkway,35,32405,766-703-5465,Third-Party Billing,T,Indemnity Plan,7/11/2017,10/27/2022,12/3/2019,25,2/7/2020,jcb,3576786651040687,8/2/2026,Savings Account,ehkjxty,53.32,6/16/2013,7/6/2016
BILL993798533,ACC625739686,9 Goodland Alley,43,95298,182-938-2026,Resource-Based Relative Value Scale (RBRVS),F,Short-Term Health Insurance,11/28/2012,12/4/2020,8/21/2017,37,3/31/2016,jcb,3557444773263588,3/27/2028,Credit Account,wwdhxuj,196.7,2/13/2020,6/19/2010
BILL397135053,ACC094766712,718 Pearson Place,22,49518,847-713-7555,Per Diem,T,Disability Insurance,11/29/2021,6/30/2023,12/23/2021,16,10/2/2023,jcb,3560132500454456,6/19/2027,Certificate of Deposit (CD),ovccmne,798.45,12/23/2017,4/26/2021
BILL048685102,ACC626435660,3 Division Trail,7,37205,956-786-0532,Deductible,F,Medicare,1/15/2019,7/8/2022,5/20/2021,27,7/17/2021,switch,490569826316687536,5/27/2027,Savings Account,jcjtemb,582.24,11/12/2014,11/8/2014
BILL394043074,ACC554597453,11685 High Crossing Trail,24,77040,321-497-7664,Fee-for-Service,F,High Deductible Health Plan (HDHP),7/4/2012,1/31/2015,8/23/2019,28,6/11/2023,jcb,3566866528286531,3/5/2029,Loan Account,wkpejyp,768.79,11/7/2021,1/12/2020
BILL279771650,ACC121563984,25 Schlimgen Drive,36,33620,708-148-5782,Per Diem,T,Prescription Drug Coverage,4/5/2011,11/29/2016,6/13/2022,35,3/25/2019,maestro,6761995761334927527,3/9/2029,Checking Account,uagtwlj,533.48,10/26/2010,4/22/2020
BILL766009597,ACC333618324,099 Jenifer Center,29,35254,845-244-8701,Global Budgeting,F,Consumer-Driven Health Plan (CDHP),7/18/2018,10/18/2022,1/16/2019,17,3/26/2019,visa,4687344128638974,11/7/2028,Certificate of Deposit (CD),aekxbgh,922.92,10/20/2015,7/5/2010
BILL030201266,ACC144360592,4466 Clemons Circle,47,38126,376-240-9951,Deductible,T,Preferred Provider Organization (PPO),4/2/2013,5/30/2023,1/25/2022,20,7/15/2020,jcb,3534330647274075,6/29/2025,Loan Account,hychldw,335.55,3/27/2011,4/29/2019
BILL415187681,ACC919079005,37971 Sommers Alley,13,61656,438-114-9817,Co-Payment,T,Critical Illness Insurance,1/20/2015,7/2/2022,8/28/2022,35,1/21/2022,jcb,3548667796098126,9/14/2028,Credit Account,rklsyqm,78.17,1/18/2013,4/30/2011
BILL343634474,ACC860745637,07 Buhler Plaza,35,57198,764-847-2395,Resource-Based Relative Value Scale (RBRVS),T,Maternity Coverage,3/31/2020,12/15/2021,3/13/2023,9,8/22/2022,switch,4911192685378142160,11/26/2024,Certificate of Deposit (CD),cwhuoll,712.77,5/27/2013,3/25/2017
BILL401857750,ACC406011682,65 Lake View Way,39,29615,757-824-3692,Third-Party Billing,T,Short-Term Health Insurance,7/22/2013,9/8/2022,12/1/2017,40,4/3/2015,china-unionpay,5602254165485248,11/23/2026,Retirement Account,vfvliba,600.85,1/24/2021,11/18/2021
BILL145220633,ACC968741631,09 Packers Circle,30,15220,645-257-9837,Direct Billing,F,Disability Insurance,1/21/2016,10/18/2020,11/30/2022,9,1/21/2024,americanexpress,372301860842386,6/3/2029,Checking Account,hjyzeev,824.5,8/24/2019,4/11/2021
BILL367145827,ACC062715992,33912 Grasskamp Junction,7,27409,202-315-1290,Prospective Payment System,T,Health Maintenance Organization (HMO),6/14/2014,8/12/2021,7/7/2020,17,7/4/2019,maestro,6761484134994879172,2/19/2027,Credit Account,hommomb,357.92,11/21/2017,1/14/2021
BILL490883999,ACC038767351,47 Doe Crossing Junction,12,88546,432-139-2951,Fee-for-Service,T,Long-Term Care Insurance,7/30/2015,12/12/2017,12/26/2016,4,6/19/2023,visa,4041590010849,9/9/2024,Certificate of Deposit (CD),pxwlnya,636.48,1/19/2011,9/25/2013
BILL597266575,ACC204802597,83 Drewry Circle,45,43210,822-838-2923,Direct Billing,F,Dental Insurance,11/29/2020,11/13/2023,4/17/2024,11,9/30/2022,solo,676730562176639907,8/19/2026,Retirement Account,wueycka,561.37,3/11/2016,9/11/2020
BILL108278560,ACC385385815,1 Wayridge Lane,18,14220,527-775-8005,Electronic Billing,T,Vision Insurance,6/17/2019,4/29/2020,9/27/2023,14,6/24/2019,jcb,3558491464319764,2/13/2028,Loan Account,zieuyrf,238.35,10/28/2010,1/9/2017
BILL085870947,ACC543198569,31444 Hanover Center,6,45271,418-837-9741,Sliding Scale,T,Tricare (Military Health Care),7/6/2016,10/10/2019,2/14/2020,9,10/10/2017,jcb,3556998576369422,12/2/2026,Certificate of Deposit (CD),sbrkgsw,563.99,6/24/2018,2/11/2019
BILL925913463,ACC101362169,895 Pierstorff Trail,29,97271,841-475-1384,Fee-for-Service,T,Consumer-Driven Health Plan (CDHP),1/22/2014,3/8/2023,8/5/2020,26,7/21/2021,maestro,501816879479202390,11/15/2028,Investment Account,sodlkxc,82.45,5/23/2011,5/6/2021
BILL322972799,ACC335859072,1354 Cascade Plaza,43,63104,126-736-4831,Coinsurance,T,Health Savings Account (HSA)-eligible plan,6/1/2011,9/11/2022,9/28/2020,48,2/4/2015,diners-club-carte-blanche,30325001859060,11/29/2029,Investment Account,csarmvl,622.46,5/1/2012,8/23/2012
BILL205578378,ACC557048889,63 Oak Junction,24,35225,749-303-3171,Diagnosis-Related Group (DRG),T,Mental Health Coverage,10/5/2016,11/1/2021,3/19/2017,2,3/17/2024,jcb,3556344980563138,4/19/2028,Investment Account,ghnjarc,650.78,4/22/2016,8/7/2012
BILL239614994,ACC456856422,9045 Lukken Terrace,39,15279,568-346-8221,Per Diem,F,Vision Insurance,4/25/2016,9/19/2020,10/4/2023,6,8/4/2023,jcb,3567798764412407,10/18/2025,Investment Account,blwojmy,783.28,4/22/2020,6/17/2018
BILL650103243,ACC685264117,280 Autumn Leaf Trail,20,33245,554-198-6896,Coinsurance,F,Dental Insurance,5/7/2011,9/1/2022,4/25/2013,35,5/11/2012,diners-club-enroute,201907180821053,11/16/2027,Certificate of Deposit (CD),nrcsjlp,44.39,10/4/2017,7/5/2019
BILL178629881,ACC285950076,67252 Roth Trail,35,72222,349-591-4234,Deductible,F,Indemnity Plan,9/1/2015,10/12/2018,7/26/2020,39,4/2/2019,mastercard,5194620508409505,6/16/2024,Checking Account,dtpdooc,265.33,3/9/2014,8/21/2013
BILL631375631,ACC035219877,48 Mcguire Junction,41,20918,301-187-0412,Self-Pay,F,Point of Service (POS),3/27/2011,1/30/2017,10/7/2018,11,2/6/2013,maestro,5018793485708720,11/3/2026,Loan Account,dxwjxvo,929.63,9/9/2011,4/15/2013
