InvoiceNumber,InvoiceDate,NoOutstandingInvoices,DueDate,PaidDate,InvoiceStatus,BillingPeriod,BAcctNumber,CustomerSSN,ContractNumber
INVC-66468,7/19/2021,3,5/13/2022,10/7/2021,Paid,Monthly,BILL611642211,454-50-7352,CNT-CDP-0012-149
INVC-98517,7/15/2020,1,11/20/2022,8/16/2020,Paid,Weekly,BILL656499554,696-66-8047,CNT-CDP-2950-681
INVC-98589,3/30/2021,5,9/29/2022,4/15/2021,Paid,Quarterly,BILL800958993,324-13-9091,CNT-CDP-5622-270
INVC-13366,2/3/2021,3,6/24/2022,11/26/2021,Paid,Daily,BILL518021173,845-85-8761,CNT-CDP-5277-908
INVC-25056,9/26/2021,1,9/14/2022,12/13/2021,Paid,Quarterly,BILL079103430,810-99-3600,CNT-CDP-0583-756
INVC-53497,5/13/2021,2,12/11/2022,,Unpaid,Bi-Weekly,BILL023663265,333-94-4387,CNT-CDP-9208-549
INVC-53853,7/24/2020,3,12/14/2022,5/19/2021,Paid,Annually,BILL417100957,772-58-7916,CNT-CDP-1384-365
INVC-02389,10/11/2020,4,10/24/2022,,Unpaid,Monthly,BILL093974581,411-05-1333,CNT-CDP-7520-153
INVC-99765,6/22/2020,3,10/25/2022,7/14/2021,Paid,Weekly,BILL512548386,730-71-0856,CNT-CDP-2664-430
INVC-63779,1/26/2020,3,4/23/2022,1/31/2021,Paid,Weekly,BILL205979582,683-52-9482,CNT-CDP-7969-902
INVC-01206,2/25/2019,5,4/23/2022,,Unpaid,Quarterly,BILL733805251,420-65-0039,CNT-CDP-4716-686
INVC-98185,12/25/2020,4,12/24/2022,12/8/2021,Paid,Quarterly,BILL677994371,706-92-3972,CNT-CDP-9251-365
INVC-11315,5/8/2019,3,11/21/2022,,Unpaid,Weekly,BILL737017617,684-49-6147,CNT-CDP-0735-160
INVC-45499,9/7/2019,1,11/11/2022,6/23/2021,Paid,Quarterly,BILL090062217,506-48-3197,CNT-CDP-9193-513
INVC-58669,11/18/2019,4,4/21/2022,8/14/2020,Paid,Daily,BILL427141693,649-18-0971,CNT-CDP-9548-714
INVC-87780,9/6/2019,4,7/28/2022,,Unpaid,Semi-Annually,BILL764521310,741-88-2845,CNT-CDP-4355-213
INVC-12512,8/27/2020,2,9/26/2022,,Unpaid,Weekly,BILL660810943,429-21-6288,CNT-CDP-5883-370
INVC-46632,5/17/2020,4,7/10/2022,1/26/2021,Paid,Monthly,BILL752950974,386-64-6014,CNT-CDP-7633-031
INVC-79124,12/15/2020,3,9/17/2022,,Unpaid,Bi-Weekly,BILL871835822,576-22-8234,CNT-CDP-4298-194
INVC-58215,9/11/2021,5,6/2/2022,9/27/2021,Paid,Weekly,BILL291905989,343-14-8509,CNT-CDP-8860-145
INVC-99308,8/8/2020,4,1/21/2022,12/1/2020,Paid,Bi-Weekly,BILL161592289,416-91-0684,CNT-CDP-6359-891
INVC-15011,5/25/2019,1,7/13/2022,9/4/2020,Paid,Weekly,BILL376104158,324-19-5995,CNT-CDP-5491-579
INVC-36692,5/14/2021,1,11/20/2022,7/28/2021,Paid,Bi-Weekly,BILL011792974,810-21-7607,CNT-CDP-7846-837
INVC-94817,2/6/2020,2,6/8/2022,,Unpaid,Bi-Weekly,BILL621335276,408-06-6759,CNT-CDP-0043-128
INVC-01463,9/28/2021,5,8/18/2022,11/8/2021,Paid,Bi-Weekly,BILL792860535,862-15-0803,CNT-CDP-1752-610
INVC-66463,11/18/2020,1,7/1/2022,12/20/2020,Paid,Weekly,BILL196505660,341-34-9421,CNT-CDP-4838-473
INVC-10375,5/5/2020,4,7/20/2022,7/27/2021,Paid,Weekly,BILL882308549,522-74-3333,CNT-CDP-6362-620
INVC-87529,1/6/2021,4,8/14/2022,,Unpaid,Monthly,BILL766716288,571-01-2642,CNT-CDP-6472-018
INVC-83913,3/12/2021,5,4/3/2022,11/22/2021,Paid,Weekly,BILL025855951,400-01-7648,CNT-CDP-3649-607
INVC-59885,10/20/2020,5,4/28/2022,,Unpaid,Quarterly,BILL962754312,598-47-0008,CNT-CDP-8741-560
INVC-71349,3/21/2020,4,9/10/2022,5/17/2021,Paid,Semi-Annually,BILL338752934,336-91-9867,CNT-CDP-8452-467
INVC-45462,5/13/2020,1,11/28/2022,7/13/2021,Paid,Quarterly,BILL934029544,389-16-9961,CNT-CDP-4814-607
INVC-83598,2/6/2020,3,8/18/2022,6/26/2020,Paid,Semi-Annually,BILL310437267,417-63-0056,CNT-CDP-0530-984
INVC-61067,6/26/2021,5,4/15/2022,12/28/2021,Paid,Weekly,BILL759909813,859-29-5605,CNT-CDP-7016-102
INVC-76118,11/11/2021,5,7/11/2022,12/19/2021,Paid,Daily,BILL778150967,120-67-5434,CNT-CDP-6403-634
INVC-18335,2/21/2020,2,11/18/2022,,Unpaid,Weekly,BILL157499701,286-71-0755,CNT-CDP-8550-485
INVC-07880,6/4/2019,2,1/15/2022,7/5/2020,Paid,Annually,BILL230384028,191-15-6591,CNT-CDP-3236-919
INVC-07467,10/31/2019,3,1/20/2022,2/17/2021,Paid,Semi-Annually,BILL543798524,121-17-6643,CNT-CDP-0166-217
INVC-53439,5/22/2021,2,11/8/2022,6/29/2021,Paid,Semi-Annually,BILL394238476,678-24-3779,CNT-CDP-4618-585
INVC-95148,8/18/2021,2,12/24/2022,,Unpaid,Annually,BILL296862511,426-19-9733,CNT-CDP-3283-313
INVC-11858,12/13/2021,1,10/26/2022,12/21/2021,Paid,Semi-Annually,BILL105784499,295-50-6362,CNT-CDP-5374-530
INVC-69765,2/1/2020,1,3/3/2022,12/18/2020,Paid,Bi-Weekly,BILL639543430,243-90-7292,CNT-CDP-3226-308
INVC-33452,1/23/2019,1,4/16/2022,5/2/2021,Paid,Semi-Annually,BILL446410438,443-26-7684,CNT-CDP-5956-156
INVC-17771,12/3/2019,4,7/7/2022,6/1/2021,Paid,Semi-Annually,BILL039599158,891-39-7247,CNT-CDP-1681-460
INVC-47210,12/20/2019,4,1/3/2022,11/11/2020,Paid,Quarterly,BILL982136479,438-67-7690,CNT-CDP-3513-651
INVC-69949,2/13/2021,4,1/4/2022,6/3/2021,Paid,Weekly,BILL129607402,821-33-0882,CNT-CDP-0048-189
INVC-68368,12/5/2021,3,4/9/2022,12/11/2021,Paid,Semi-Annually,BILL086140948,240-62-7475,CNT-CDP-7129-001
INVC-39219,10/14/2020,4,9/5/2022,11/13/2020,Paid,Annually,BILL980112249,168-79-9741,CNT-CDP-0025-074
INVC-91872,5/17/2019,2,4/6/2022,,Unpaid,Quarterly,BILL302778954,502-28-3044,CNT-CDP-4226-906
INVC-07429,2/6/2021,2,1/29/2022,8/26/2021,Paid,Daily,BILL729007220,326-82-9096,CNT-CDP-4794-011
INVC-42428,6/27/2021,2,6/12/2022,7/25/2021,Paid,Bi-Weekly,BILL128748145,422-22-6500,CNT-CDP-3138-200
INVC-73728,7/18/2021,3,9/1/2022,10/18/2021,Paid,Semi-Annually,BILL483002632,784-23-9227,CNT-CDP-3261-885
INVC-99195,9/29/2019,5,4/22/2022,5/29/2020,Paid,Bi-Weekly,BILL030668260,583-74-6686,CNT-CDP-8773-843
INVC-89312,7/14/2020,3,12/17/2022,8/10/2020,Paid,Quarterly,BILL367042909,719-47-6049,CNT-CDP-0703-703
INVC-98825,6/14/2020,1,11/20/2022,4/1/2021,Paid,Quarterly,BILL325240996,444-61-8668,CNT-CDP-7695-110
INVC-68908,6/29/2021,1,1/15/2022,8/28/2021,Paid,Bi-Weekly,BILL467846315,414-80-2739,CNT-CDP-2794-924
INVC-08095,4/25/2019,3,3/26/2022,8/6/2019,Paid,Bi-Weekly,BILL359354134,320-72-8082,CNT-CDP-4697-407
INVC-60791,10/28/2021,4,4/17/2022,11/11/2021,Paid,Weekly,BILL429146252,754-90-0326,CNT-CDP-8278-068
INVC-22260,10/4/2021,4,3/16/2022,11/21/2021,Paid,Daily,BILL804143329,454-59-9255,CNT-CDP-7848-670
INVC-86495,12/28/2019,5,6/25/2022,8/16/2020,Paid,Bi-Weekly,BILL241593726,871-14-8846,CNT-CDP-4885-368
INVC-67383,1/26/2019,5,4/23/2022,3/14/2021,Paid,Bi-Weekly,BILL510966103,484-11-7643,CNT-CDP-0705-782
INVC-73122,2/4/2019,4,9/7/2022,,Unpaid,Bi-Weekly,BILL069848597,842-33-0692,CNT-CDP-2085-309
INVC-89345,6/4/2020,5,5/12/2022,,Unpaid,Semi-Annually,BILL801593467,770-97-2845,CNT-CDP-3835-236
INVC-80202,7/11/2021,2,2/10/2022,11/18/2021,Paid,Semi-Annually,BILL902636241,859-16-4730,CNT-CDP-9071-527
INVC-60688,8/24/2020,2,5/14/2022,3/3/2021,Paid,Monthly,BILL295267204,231-60-1071,CNT-CDP-8176-312
INVC-02805,2/14/2021,1,4/30/2022,5/4/2021,Paid,Annually,BILL156636491,204-84-2965,CNT-CDP-6356-443
INVC-99902,5/27/2020,4,7/3/2022,,Unpaid,Semi-Annually,BILL726769064,701-94-4581,CNT-CDP-1303-991
INVC-19190,10/3/2019,3,7/10/2022,,Unpaid,Quarterly,BILL682863835,472-69-9538,CNT-CDP-5770-589
INVC-49500,2/2/2020,4,5/26/2022,3/18/2020,Paid,Quarterly,BILL277895534,462-09-9586,CNT-CDP-8758-759
INVC-40601,12/10/2020,3,12/9/2022,,Unpaid,Bi-Weekly,BILL184422138,887-07-8129,CNT-CDP-7169-983
INVC-08592,11/7/2019,1,12/5/2022,1/31/2021,Paid,Semi-Annually,BILL357142907,401-76-1487,CNT-CDP-3592-132
INVC-89221,3/31/2019,1,8/27/2022,11/29/2021,Paid,Annually,BILL402412353,881-90-9554,CNT-CDP-4635-159
INVC-45465,2/13/2021,4,3/21/2022,10/25/2021,Paid,Quarterly,BILL085062113,312-39-6634,CNT-CDP-0695-142
INVC-83438,12/10/2019,5,5/24/2022,,Unpaid,Semi-Annually,BILL602648039,578-71-8021,CNT-CDP-6628-502
INVC-48576,11/9/2020,5,2/24/2022,,Unpaid,Weekly,BILL034391407,142-96-7706,CNT-CDP-0445-531
INVC-40265,9/30/2021,2,7/20/2022,,Unpaid,Monthly,BILL334581044,283-48-1886,CNT-CDP-3103-701
INVC-09165,5/26/2020,4,10/20/2022,7/6/2020,Paid,Weekly,BILL244424799,348-41-6467,CNT-CDP-6440-083
INVC-56487,6/12/2019,3,12/16/2022,,Unpaid,Semi-Annually,BILL061658767,377-81-1617,CNT-CDP-8889-788
INVC-52964,9/11/2020,5,11/4/2022,3/17/2021,Paid,Annually,BILL555804041,827-35-6446,CNT-CDP-9199-884
INVC-43201,7/3/2021,4,3/28/2022,7/21/2021,Paid,Annually,BILL254468119,479-33-8552,CNT-CDP-7225-678
INVC-69545,10/15/2021,4,8/5/2022,,Unpaid,Monthly,BILL182702546,216-57-5273,CNT-CDP-1854-163
INVC-38744,1/11/2020,4,8/26/2022,9/2/2021,Paid,Bi-Weekly,BILL345240047,560-54-1044,CNT-CDP-9453-431
INVC-77270,5/7/2020,1,7/27/2022,,Unpaid,Annually,BILL973981835,651-95-1667,CNT-CDP-9142-986
INVC-04062,3/18/2020,1,9/1/2022,,Unpaid,Daily,BILL195565582,161-27-2102,CNT-CDP-0696-193
INVC-81836,4/19/2021,4,10/22/2022,5/30/2021,Paid,Daily,BILL958061608,815-75-7291,CNT-CDP-4785-095
INVC-40160,1/17/2020,5,3/13/2022,,Unpaid,Annually,BILL877635768,472-57-1100,CNT-CDP-1691-543
INVC-58785,7/23/2020,2,4/1/2022,2/11/2021,Paid,Semi-Annually,BILL695307805,835-28-5830,CNT-CDP-7755-654
INVC-39565,6/10/2019,2,6/25/2022,,Unpaid,Bi-Weekly,BILL760301121,795-64-2025,CNT-CDP-2948-417
INVC-18785,3/4/2020,5,10/18/2022,,Unpaid,Bi-Weekly,BILL596348505,268-05-9286,CNT-CDP-6726-517
INVC-89059,2/4/2021,1,1/30/2022,4/13/2021,Paid,Monthly,BILL655953543,550-33-5183,CNT-CDP-1686-344
INVC-98873,8/25/2020,1,10/27/2022,,Unpaid,Bi-Weekly,BILL703956418,309-64-6753,CNT-CDP-0952-359
INVC-28759,3/6/2021,2,4/8/2022,,Unpaid,Annually,BILL162883165,244-26-3388,CNT-CDP-9810-437
INVC-33994,5/7/2020,4,3/24/2022,10/31/2020,Paid,Monthly,BILL978885033,335-22-1485,CNT-CDP-8648-617
INVC-49646,12/15/2020,4,9/7/2022,,Unpaid,Annually,BILL852860608,708-83-3620,CNT-CDP-8627-277
INVC-15978,10/7/2021,4,8/6/2022,10/14/2021,Paid,Weekly,BILL457678288,264-14-8360,CNT-CDP-1266-207
INVC-75886,9/29/2020,3,2/5/2022,10/17/2020,Paid,Annually,BILL757675547,577-18-8952,CNT-CDP-8613-486
INVC-61612,12/22/2020,1,11/8/2022,,Unpaid,Quarterly,BILL645084780,401-04-8498,CNT-CDP-7084-441
INVC-98632,5/21/2019,2,5/15/2022,,Unpaid,Daily,BILL138896412,823-37-4177,CNT-CDP-2225-044
INVC-58126,12/24/2019,1,6/11/2022,6/7/2021,Paid,Semi-Annually,BILL979812750,440-53-8760,CNT-CDP-5220-091
INVC-80546,12/28/2019,1,8/11/2022,7/22/2020,Paid,Quarterly,BILL325930472,789-23-6374,CNT-CDP-6784-885
INVC-00010,6/14/2020,2,10/11/2022,11/22/2020,Paid,Monthly,BILL546080145,410-82-3708,CNT-CDP-8795-526
INVC-94717,8/16/2019,5,10/10/2022,10/31/2021,Paid,Bi-Weekly,BILL572900413,684-53-7790,CNT-CDP-4297-856
INVC-28470,9/14/2021,5,9/18/2022,11/6/2021,Paid,Monthly,BILL200708748,302-41-8386,CNT-CDP-2183-000
INVC-36817,12/22/2019,2,10/8/2022,9/22/2020,Paid,Weekly,BILL985100707,724-19-2732,CNT-CDP-7146-925
INVC-21311,1/6/2020,4,2/8/2022,,Unpaid,Bi-Weekly,BILL330664477,105-24-5963,CNT-CDP-6430-594
INVC-08410,1/20/2021,1,2/3/2022,9/11/2021,Paid,Semi-Annually,BILL986307565,552-78-2235,CNT-CDP-5583-933
INVC-83173,7/18/2021,3,2/15/2022,10/16/2021,Paid,Quarterly,BILL024039285,386-12-2564,CNT-CDP-2519-036
INVC-48194,11/2/2020,2,2/6/2022,1/22/2021,Paid,Daily,BILL191075574,646-54-5749,CNT-CDP-4259-735
INVC-06517,1/29/2020,5,2/18/2022,,Unpaid,Weekly,BILL240412404,440-33-5693,CNT-CDP-2283-636
INVC-06813,4/25/2021,1,1/6/2022,7/2/2021,Paid,Daily,BILL848283152,819-97-9212,CNT-CDP-7820-783
INVC-71063,10/12/2020,4,7/9/2022,2/7/2021,Paid,Annually,BILL758249453,577-44-6995,CNT-CDP-0296-158
INVC-06237,4/17/2021,5,4/19/2022,11/7/2021,Paid,Semi-Annually,BILL598113647,555-77-7098,CNT-CDP-9120-282
INVC-57614,11/15/2021,3,10/2/2022,11/16/2021,Paid,Daily,BILL023713343,157-96-5213,CNT-CDP-8976-574
INVC-08212,7/27/2019,2,6/2/2022,,Unpaid,Quarterly,BILL364359851,694-28-6861,CNT-CDP-1686-121
INVC-14042,11/13/2021,5,11/30/2022,12/6/2021,Paid,Semi-Annually,BILL670941128,648-58-2228,CNT-CDP-6094-001
INVC-90638,11/12/2019,5,9/6/2022,4/6/2021,Paid,Quarterly,BILL723869269,412-99-0210,CNT-CDP-5856-605
INVC-61552,8/13/2020,5,10/8/2022,7/6/2021,Paid,Bi-Weekly,BILL595260975,637-28-8897,CNT-CDP-0408-502
INVC-53107,3/22/2019,5,4/11/2022,11/28/2019,Paid,Annually,BILL140989433,768-07-9061,CNT-CDP-6145-479
INVC-99793,3/25/2019,5,12/29/2022,1/5/2021,Paid,Quarterly,BILL644052963,537-76-4709,CNT-CDP-9285-805
INVC-63053,4/29/2020,5,1/7/2022,5/23/2021,Paid,Weekly,BILL806454729,760-55-5800,CNT-CDP-3461-691
INVC-74477,1/22/2019,4,7/18/2022,4/4/2019,Paid,Monthly,BILL402978247,219-48-8820,CNT-CDP-6814-078
INVC-77823,1/28/2020,3,7/7/2022,,Unpaid,Annually,BILL066044412,667-12-6766,CNT-CDP-6407-252
INVC-82618,10/10/2020,3,4/5/2022,6/20/2021,Paid,Daily,BILL043635421,460-07-2521,CNT-CDP-1423-688
INVC-04649,1/17/2019,4,8/28/2022,8/31/2021,Paid,Quarterly,BILL425001577,357-04-0907,CNT-CDP-3503-303
INVC-89574,12/16/2020,4,8/1/2022,9/12/2021,Paid,Quarterly,BILL859336067,352-32-0242,CNT-CDP-2140-742
INVC-66398,11/13/2020,3,10/4/2022,1/19/2021,Paid,Monthly,BILL678294889,726-71-9373,CNT-CDP-6281-979
INVC-60617,9/1/2019,1,9/4/2022,,Unpaid,Semi-Annually,BILL982959406,429-65-7811,CNT-CDP-4854-921
INVC-33307,5/24/2020,4,4/6/2022,,Unpaid,Semi-Annually,BILL221381715,273-30-7287,CNT-CDP-6641-080
INVC-68793,2/8/2021,2,7/11/2022,,Unpaid,Daily,BILL428413789,307-13-0638,CNT-CDP-9721-992
INVC-12114,2/2/2021,2,2/14/2022,12/18/2021,Paid,Annually,BILL554760333,485-56-3024,CNT-CDP-3520-881
INVC-48531,8/7/2019,1,8/6/2022,10/6/2021,Paid,Weekly,BILL251165278,532-78-7589,CNT-CDP-1964-119
INVC-25603,12/7/2019,1,5/5/2022,2/27/2021,Paid,Quarterly,BILL566029220,542-23-9499,CNT-CDP-7526-443
INVC-11001,6/14/2021,3,6/10/2022,8/8/2021,Paid,Semi-Annually,BILL929294972,647-12-9070,CNT-CDP-9881-842
INVC-86653,3/15/2020,5,5/13/2022,8/5/2020,Paid,Annually,BILL694528259,105-43-4308,CNT-CDP-9564-311
INVC-53915,10/21/2021,3,5/29/2022,,Unpaid,Monthly,BILL187919183,313-95-3567,CNT-CDP-8927-296
INVC-36016,11/20/2021,1,9/9/2022,12/26/2021,Paid,Monthly,BILL176230375,405-23-1770,CNT-CDP-9435-295
INVC-77918,12/29/2021,1,10/13/2022,12/29/2021,Paid,Semi-Annually,BILL580823093,556-17-5319,CNT-CDP-9935-583
INVC-32654,11/14/2019,2,2/23/2022,12/9/2019,Paid,Daily,BILL418852962,198-75-5392,CNT-CDP-3423-266
INVC-48513,5/6/2021,3,2/12/2022,6/29/2021,Paid,Daily,BILL624768677,863-28-4647,CNT-CDP-0693-669
INVC-56190,10/19/2019,4,12/3/2022,2/27/2021,Paid,Monthly,BILL419342769,240-36-3667,CNT-CDP-4884-670
INVC-79868,11/9/2020,1,8/12/2022,11/15/2020,Paid,Quarterly,BILL583377361,789-21-3161,CNT-CDP-5393-636
INVC-13871,4/6/2020,2,8/17/2022,,Unpaid,Semi-Annually,BILL294599128,519-39-1073,CNT-CDP-4972-406
INVC-04819,12/15/2019,5,2/11/2022,2/9/2020,Paid,Daily,BILL312422901,175-29-0870,CNT-CDP-7072-546
INVC-98388,7/24/2019,5,10/10/2022,10/12/2019,Paid,Quarterly,BILL442045782,281-73-6808,CNT-CDP-0458-892
INVC-16474,7/31/2020,2,10/15/2022,7/27/2021,Paid,Bi-Weekly,BILL434670094,638-53-8878,CNT-CDP-8393-267
INVC-53238,8/27/2019,3,11/20/2022,7/12/2020,Paid,Bi-Weekly,BILL860168359,667-87-5585,CNT-CDP-7409-650
INVC-48951,2/20/2020,4,4/13/2022,3/28/2020,Paid,Monthly,BILL407557450,469-18-8371,CNT-CDP-0138-017
INVC-61904,8/9/2019,4,12/27/2022,2/2/2020,Paid,Monthly,BILL775213660,613-51-6044,CNT-CDP-6091-049
INVC-87691,2/13/2020,4,7/17/2022,,Unpaid,Bi-Weekly,BILL740347615,159-60-4499,CNT-CDP-3352-445
INVC-59316,9/17/2020,3,9/18/2022,12/23/2020,Paid,Bi-Weekly,BILL211248090,657-47-2248,CNT-CDP-2968-518
INVC-19273,9/2/2020,5,10/16/2022,11/6/2020,Paid,Monthly,BILL915120219,587-46-8092,CNT-CDP-6675-366
INVC-57161,8/14/2020,5,1/29/2022,,Unpaid,Annually,BILL217927913,391-21-7230,CNT-CDP-0006-619
INVC-60314,5/30/2020,1,10/28/2022,4/8/2021,Paid,Bi-Weekly,BILL594274185,710-25-6604,CNT-CDP-2373-020
INVC-97789,9/21/2021,3,7/22/2022,12/26/2021,Paid,Monthly,BILL844779511,142-83-9613,CNT-CDP-7934-726
INVC-12897,11/27/2019,1,1/29/2022,9/16/2020,Paid,Annually,BILL974351109,330-89-0336,CNT-CDP-4517-168
INVC-07400,10/4/2020,5,9/28/2022,11/5/2021,Paid,Quarterly,BILL113688829,180-96-0196,CNT-CDP-2482-116
INVC-07168,8/14/2021,3,11/5/2022,11/25/2021,Paid,Annually,BILL048311856,133-79-4272,CNT-CDP-7714-726
INVC-74523,11/6/2021,3,8/5/2022,12/13/2021,Paid,Bi-Weekly,BILL737046951,223-46-4546,CNT-CDP-8729-673
INVC-82903,4/20/2019,5,8/22/2022,9/27/2021,Paid,Bi-Weekly,BILL032318515,688-34-4783,CNT-CDP-3626-233
INVC-77707,3/22/2021,2,6/27/2022,9/30/2021,Paid,Daily,BILL868538552,172-85-1067,CNT-CDP-7878-580
INVC-97046,11/22/2020,3,3/13/2022,4/29/2021,Paid,Monthly,BILL708485167,176-86-3412,CNT-CDP-4982-687
INVC-12548,8/6/2019,4,3/28/2022,12/24/2019,Paid,Bi-Weekly,BILL340916604,234-43-4033,CNT-CDP-1871-181
INVC-35630,10/27/2020,2,4/2/2022,6/14/2021,Paid,Annually,BILL993798533,108-74-9927,CNT-CDP-2420-167
INVC-31599,12/3/2021,3,5/25/2022,,Unpaid,Daily,BILL397135053,595-98-7635,CNT-CDP-9697-067
INVC-39551,7/27/2020,4,4/4/2022,1/21/2021,Paid,Quarterly,BILL048685102,890-42-9829,CNT-CDP-7840-240
INVC-64644,2/26/2021,5,8/13/2022,,Unpaid,Bi-Weekly,BILL394043074,189-87-9341,CNT-CDP-7719-845
INVC-33966,6/20/2021,3,6/5/2022,6/29/2021,Paid,Quarterly,BILL279771650,634-40-1416,CNT-CDP-0934-058
INVC-14794,9/8/2020,4,2/8/2022,10/1/2020,Paid,Quarterly,BILL766009597,891-94-1440,CNT-CDP-2493-116
INVC-86611,2/6/2019,5,12/19/2022,,Unpaid,Quarterly,BILL030201266,565-68-9682,CNT-CDP-0592-659
INVC-06205,9/27/2020,3,10/15/2022,1/30/2021,Paid,Annually,BILL415187681,121-50-0345,CNT-CDP-1796-630
INVC-86005,9/20/2021,3,10/4/2022,10/10/2021,Paid,Weekly,BILL343634474,135-79-2822,CNT-CDP-2695-550
INVC-79050,2/23/2019,2,10/20/2022,9/12/2021,Paid,Bi-Weekly,BILL401857750,648-53-3431,CNT-CDP-4272-021
INVC-42873,8/2/2020,5,10/16/2022,,Unpaid,Semi-Annually,BILL145220633,589-94-4692,CNT-CDP-5346-601
INVC-12665,4/23/2021,5,8/25/2022,11/24/2021,Paid,Semi-Annually,BILL367145827,516-23-5305,CNT-CDP-0766-102
INVC-10756,8/19/2019,4,3/3/2022,10/15/2021,Paid,Semi-Annually,BILL490883999,745-84-4576,CNT-CDP-3659-832
INVC-83881,10/24/2021,4,8/1/2022,12/6/2021,Paid,Daily,BILL597266575,425-60-9329,CNT-CDP-7818-755
INVC-40394,5/3/2020,2,2/18/2022,1/16/2021,Paid,Monthly,BILL108278560,538-34-5682,CNT-CDP-0541-865
INVC-13241,6/10/2020,1,7/26/2022,12/10/2021,Paid,Monthly,BILL085870947,349-62-6503,CNT-CDP-5662-622
INVC-90063,9/22/2021,2,4/16/2022,10/5/2021,Paid,Monthly,BILL925913463,875-65-7669,CNT-CDP-1769-166
INVC-33777,2/13/2020,3,9/6/2022,12/12/2021,Paid,Semi-Annually,BILL322972799,397-26-0369,CNT-CDP-8009-513
INVC-26901,11/2/2020,3,6/21/2022,2/28/2021,Paid,Daily,BILL205578378,406-55-2305,CNT-CDP-9297-790
INVC-82881,5/11/2020,1,8/30/2022,,Unpaid,Bi-Weekly,BILL239614994,794-64-4580,CNT-CDP-5200-904
INVC-44591,9/4/2019,1,7/6/2022,,Unpaid,Bi-Weekly,BILL650103243,425-83-7072,CNT-CDP-3189-415
INVC-68836,8/26/2020,5,1/16/2022,4/9/2021,Paid,Semi-Annually,BILL178629881,326-74-7678,CNT-CDP-6016-002
INVC-29226,2/11/2020,5,6/18/2022,11/25/2021,Paid,Bi-Weekly,BILL631375631,328-54-1580,CNT-CDP-7980-782
INVC-81852,9/14/2021,5,6/2/2022,,Unpaid,Annually,BILL244179312,522-74-5310,CNT-CDP-6431-317
INVC-68013,5/18/2021,5,11/13/2022,12/25/2021,Paid,Weekly,BILL595955668,397-05-4780,CNT-CDP-1676-188
INVC-28193,3/10/2021,5,12/26/2022,7/16/2021,Paid,Monthly,BILL131444407,711-15-5821,CNT-CDP-1839-909
INVC-92172,2/26/2020,4,7/28/2022,,Unpaid,Monthly,BILL207017387,297-67-6147,CNT-CDP-2548-369
INVC-38836,5/3/2019,1,10/20/2022,4/24/2020,Paid,Monthly,BILL286612331,813-84-6255,CNT-CDP-3887-648
INVC-20962,3/12/2021,2,3/10/2022,,Unpaid,Quarterly,BILL906333790,766-80-8164,CNT-CDP-7904-696
INVC-98892,12/3/2019,5,4/17/2022,3/3/2020,Paid,Semi-Annually,BILL481462067,429-68-1542,CNT-CDP-1754-791
INVC-64732,10/31/2020,4,11/26/2022,11/15/2021,Paid,Weekly,BILL811570823,421-25-3301,CNT-CDP-0277-107
INVC-54921,2/2/2020,4,4/18/2022,10/13/2020,Paid,Semi-Annually,BILL350403247,692-55-4716,CNT-CDP-9213-941
INVC-50162,7/10/2019,1,1/31/2022,8/8/2019,Paid,Semi-Annually,BILL997987118,112-96-8059,CNT-CDP-0506-660
INVC-68064,9/12/2021,3,3/9/2022,12/5/2021,Paid,Quarterly,BILL121991038,295-17-0041,CNT-CDP-9941-051
INVC-09628,9/28/2020,2,9/25/2022,,Unpaid,Semi-Annually,BILL262166953,384-51-6805,CNT-CDP-2875-651
INVC-35781,9/16/2020,2,3/4/2022,6/22/2021,Paid,Weekly,BILL627898183,326-12-6558,CNT-CDP-3540-143
INVC-81161,10/15/2019,2,5/31/2022,,Unpaid,Bi-Weekly,BILL593218462,341-22-7806,CNT-CDP-8322-326
INVC-81120,12/13/2020,3,9/20/2022,11/30/2021,Paid,Annually,BILL148116538,201-21-4882,CNT-CDP-2586-316
INVC-98409,1/16/2021,5,3/15/2022,4/20/2021,Paid,Monthly,BILL237308445,483-35-2656,CNT-CDP-9419-990
INVC-60542,12/13/2019,3,4/27/2022,2/22/2020,Paid,Monthly,BILL435496845,176-15-5320,CNT-CDP-5311-299
INVC-76053,11/21/2020,4,7/8/2022,1/5/2021,Paid,Semi-Annually,BILL447082759,344-33-3276,CNT-CDP-0000-939
INVC-50798,3/24/2021,3,12/2/2022,,Unpaid,Monthly,BILL215430269,205-22-8990,CNT-CDP-6984-981
INVC-61289,11/9/2019,1,1/21/2022,,Unpaid,Annually,BILL647471786,309-18-0710,CNT-CDP-3959-709
INVC-47667,3/20/2019,1,1/30/2022,,Unpaid,Monthly,BILL272454605,707-14-3743,CNT-CDP-7683-513
INVC-03631,9/14/2021,3,10/8/2022,9/21/2021,Paid,Semi-Annually,BILL418596314,146-38-7351,CNT-CDP-5417-947
INVC-52222,11/18/2020,1,11/30/2022,3/13/2021,Paid,Quarterly,BILL994130313,463-75-0157,CNT-CDP-4724-585
INVC-05016,2/24/2019,2,4/23/2022,,Unpaid,Daily,BILL796303350,385-22-3959,CNT-CDP-6539-835
INVC-85300,4/19/2020,3,5/12/2022,11/1/2020,Paid,Bi-Weekly,BILL422901540,231-14-6774,CNT-CDP-4771-397
