AcctNumber,CustomerSSN,NoMonthsInactive,ActivityStatus,ActivityStatusDate,AccountEstablishedDate
ACC530881602,396-63-4586,62,On Hold,8/2/2012,11/21/2021
ACC780711266,832-05-8450,77,Closed,5/21/2014,9/11/2019
ACC122674297,176-84-2096,44,Archived,4/26/2014,12/12/2010
ACC957218074,339-05-1707,86,Restricted,1/31/2010,7/23/2015
ACC277251578,742-02-5983,88,On Hold,7/25/2017,5/7/2021
ACC503990346,509-69-6851,94,Pending Activation,5/23/2020,6/4/2018
ACC585590564,533-53-0787,5,Closed,11/1/2011,9/17/2014
ACC043544577,182-13-3034,48,Closed,3/11/2010,11/2/2010
ACC807630093,408-05-8352,18,Closed,10/11/2015,11/13/2011
ACC602173480,242-51-8631,8,Inactive,3/13/2014,9/5/2010
ACC880983197,563-42-6621,9,Restricted,3/18/2012,8/9/2013
ACC685264117,314-78-8714,20,Dormant,5/1/2018,7/5/2019
ACC528910143,202-51-2902,41,On Hold,11/28/2012,7/28/2012
ACC426786532,758-28-3233,77,Pending Activation,2/18/2012,5/3/2014
ACC450365264,508-50-3138,44,On Hold,11/20/2010,12/19/2013
ACC677826973,177-43-9176,91,In Review,2/16/2017,7/29/2018
ACC789812832,788-15-9864,9,Dormant,3/12/2010,5/10/2010
ACC970939655,884-38-1441,30,Suspended,2/3/2021,2/2/2016
ACC837202886,137-92-1680,35,In Review,4/8/2014,11/28/2021
ACC434733218,726-09-9498,2,Pending Activation,1/12/2010,10/2/2016
ACC376419412,490-01-0382,78,Pending Activation,10/17/2017,8/2/2014
ACC661798763,253-65-6525,92,Active,6/8/2010,8/4/2012
ACC929694794,349-12-0495,78,Closed,11/6/2010,5/8/2013
ACC931412690,459-31-0706,39,Inactive,7/12/2016,7/20/2020
ACC494546748,569-56-0173,57,Restricted,2/6/2021,1/23/2011
ACC559852695,803-89-9048,58,Inactive,1/3/2020,9/10/2021
ACC415146577,446-58-0765,60,Suspended,1/21/2018,7/23/2015
ACC919079005,462-04-0827,68,Pending Activation,7/12/2020,4/30/2011
ACC508639639,511-63-3678,25,Suspended,10/14/2010,4/18/2015
ACC817688215,168-52-1435,96,Inactive,1/28/2021,11/30/2019
ACC320692092,159-54-8524,1,Suspended,1/26/2018,9/6/2018
ACC971310222,466-92-5767,54,Inactive,1/5/2014,7/30/2020
ACC117544250,511-66-9471,53,Active,2/19/2016,11/1/2020
ACC139864019,585-97-5767,99,Archived,1/17/2011,2/17/2017
ACC245686307,683-23-9060,68,Closed,5/20/2017,9/18/2013
ACC957141125,593-06-9806,82,On Hold,4/11/2017,5/19/2016
ACC340028978,853-48-5719,62,On Hold,2/8/2014,9/15/2021
ACC197718369,442-37-2126,37,On Hold,5/12/2014,6/10/2021
ACC070337411,821-30-6004,41,Suspended,9/3/2013,10/15/2020
ACC546065162,352-74-1010,27,Inactive,11/11/2011,4/10/2016
ACC561579178,215-28-8348,86,On Hold,3/30/2019,10/31/2014
ACC510205493,709-74-7875,51,Active,5/5/2010,6/7/2014
ACC123335911,842-64-0009,65,Inactive,10/16/2016,3/9/2012
ACC897364788,379-37-7126,80,Active,9/17/2020,5/16/2011
ACC143325099,584-74-5070,4,Active,11/11/2016,2/8/2020
ACC428435979,858-34-4318,2,On Hold,7/23/2016,2/10/2021
ACC877686606,350-22-2608,21,Dormant,6/19/2010,1/25/2016
ACC626435660,102-02-5320,76,Suspended,6/30/2018,11/8/2014
ACC651576734,884-11-7946,82,Restricted,10/8/2013,1/10/2012
ACC360472943,299-78-7188,59,Pending Activation,3/5/2011,2/26/2020
ACC230226393,688-26-2926,57,Pending Activation,1/28/2020,9/10/2016
ACC899667508,490-64-8020,65,Pending Activation,12/18/2019,11/17/2010
ACC929884225,274-87-7353,52,Archived,2/24/2021,5/18/2019
ACC043693258,244-24-5619,26,Closed,5/29/2010,5/19/2015
ACC995059774,337-86-3756,22,Archived,3/17/2014,8/17/2015
ACC553847219,620-80-1535,86,Active,2/28/2019,12/3/2011
ACC043505649,514-41-1595,28,Restricted,11/12/2011,6/14/2015
ACC367452836,646-24-6946,36,Dormant,7/11/2010,4/4/2011
ACC504879315,554-43-0861,73,Pending Activation,9/28/2015,8/7/2013
ACC938495238,811-79-7478,18,Archived,2/28/2012,9/25/2018
ACC421624674,268-99-3106,58,Dormant,2/6/2021,3/25/2010
ACC775233928,713-52-5086,19,Dormant,10/27/2012,8/24/2015
ACC311899845,202-82-6630,85,Closed,12/16/2012,8/7/2010
ACC094645696,126-23-8300,4,Archived,10/31/2010,4/25/2013
ACC892184799,623-10-8429,91,Pending Activation,11/26/2015,5/19/2016
ACC300100296,528-47-4959,62,Active,7/7/2017,12/5/2014
ACC276318376,877-42-0692,13,In Review,10/17/2020,9/21/2018
ACC474726600,503-37-0019,38,Archived,8/7/2017,9/7/2019
ACC195403311,386-35-2129,18,Restricted,5/29/2013,7/19/2010
ACC440599936,453-66-2725,74,Dormant,5/27/2016,11/2/2017
ACC049834565,387-84-4346,59,Closed,1/31/2020,10/18/2015
ACC310425787,674-10-7843,86,Archived,3/28/2014,3/29/2017
ACC873290112,811-22-6516,45,Pending Activation,3/15/2020,4/1/2016
ACC556234870,463-31-3614,59,Closed,2/24/2016,3/21/2010
ACC886582616,822-34-8592,25,On Hold,1/4/2012,7/20/2020
ACC831584126,232-36-4675,54,Suspended,9/20/2016,2/19/2021
ACC075674524,826-78-8664,22,Restricted,2/10/2021,1/15/2013
ACC170256926,432-40-6023,9,On Hold,1/29/2019,3/26/2020
ACC291486086,346-90-3521,31,In Review,2/26/2013,12/15/2013
ACC079367737,367-96-5225,61,Restricted,4/13/2019,8/1/2014
ACC000714800,170-13-4425,84,Pending Activation,5/22/2018,4/28/2012
ACC308554844,192-60-6314,95,Active,1/10/2015,6/28/2016
ACC729382629,275-13-7101,38,Inactive,6/11/2017,5/5/2020
ACC676288162,640-73-8121,19,Pending Activation,11/2/2018,9/26/2010
ACC499762104,340-42-1813,32,Archived,4/9/2017,3/13/2016
ACC062715992,404-63-3176,2,Dormant,8/11/2016,1/14/2021
ACC269753062,460-44-6568,63,Closed,2/19/2021,1/3/2011
ACC352681403,498-47-0662,30,Restricted,8/20/2015,12/25/2017
ACC456856422,691-17-3387,9,Dormant,9/17/2019,6/17/2018
ACC447145136,158-68-4850,9,Dormant,9/1/2020,6/1/2013
ACC998799339,721-97-8071,77,In Review,4/4/2021,10/11/2011
ACC173590667,569-98-8973,53,Archived,5/25/2012,6/29/2016
ACC399055576,886-25-5637,33,Pending Activation,8/11/2011,8/26/2015
ACC174124466,443-29-7883,47,Dormant,11/30/2013,12/2/2016
ACC159587383,784-73-3876,5,Closed,1/20/2019,2/4/2019
ACC425898971,577-94-4504,84,Archived,3/19/2016,6/27/2021
ACC083125344,652-70-9706,77,Closed,12/4/2019,12/14/2017
ACC489110263,572-52-6215,54,Restricted,6/8/2017,2/10/2015
ACC155707963,326-86-5376,23,On Hold,6/2/2020,2/2/2016
ACC422955005,296-57-4020,100,Suspended,10/31/2017,2/1/2021
ACC597820750,274-69-0069,94,Dormant,3/22/2010,3/19/2018
ACC826680636,505-40-2843,44,Restricted,8/9/2014,4/8/2017
ACC735862685,565-37-9253,30,Suspended,4/4/2015,7/23/2010
ACC917637206,382-06-6800,1,On Hold,9/26/2014,1/17/2014
ACC954704046,425-06-1757,17,Active,12/31/2015,2/28/2010
ACC780019307,793-09-2729,48,Pending Activation,5/20/2014,5/15/2012
ACC876910556,590-63-4215,42,Closed,12/1/2013,7/22/2015
ACC979794803,194-03-6170,99,Suspended,10/6/2020,3/5/2018
ACC768403835,408-40-5165,45,Active,8/20/2012,12/24/2013
ACC258933987,882-39-8683,17,In Review,8/24/2018,7/31/2012
ACC382101165,294-53-3385,47,In Review,5/9/2021,7/27/2021
ACC793473747,348-43-7882,10,Restricted,3/29/2010,1/15/2013
ACC032666444,124-66-0002,90,Pending Activation,9/29/2015,1/23/2018
ACC433687122,646-35-7884,27,Closed,7/19/2018,1/28/2021
ACC439422953,603-46-2641,35,Pending Activation,6/20/2011,1/15/2015
ACC191017986,423-25-7157,9,Archived,10/25/2017,2/22/2019
ACC359086427,412-38-7660,1,Inactive,8/23/2017,5/19/2019
ACC127607781,615-23-7295,51,Restricted,4/30/2020,6/2/2011
ACC717942603,711-45-0011,42,Restricted,10/1/2020,3/22/2011
ACC760396078,261-37-4176,24,Restricted,11/24/2017,3/7/2011
ACC035827340,786-23-4888,45,In Review,9/10/2019,6/10/2019
ACC820769385,145-72-3021,88,Restricted,7/12/2011,2/6/2015
ACC345266034,485-17-0690,15,In Review,2/26/2016,12/30/2012
ACC209665707,479-40-1044,100,Closed,8/15/2010,12/22/2015
ACC725368569,533-49-0335,33,Inactive,11/26/2021,3/19/2019
ACC677094196,185-83-8289,76,Active,9/3/2015,4/22/2014
ACC682846021,244-50-0147,40,In Review,6/18/2017,3/21/2013
ACC060952409,833-18-8082,34,In Review,7/21/2017,2/6/2016
ACC846495613,674-14-2833,49,On Hold,4/21/2020,6/10/2018
ACC845706971,626-05-4417,32,Suspended,6/30/2021,4/26/2015
ACC377522063,823-02-3274,3,Restricted,12/21/2021,2/5/2021
ACC528059875,153-27-3028,9,Archived,12/12/2014,6/13/2020
ACC300165590,101-17-5778,48,On Hold,5/22/2020,8/31/2021
ACC954238522,380-53-0116,76,In Review,2/26/2010,5/24/2014
ACC101362169,749-97-9210,39,Active,5/9/2017,5/6/2021
ACC602823868,207-49-3918,69,Suspended,7/30/2018,9/22/2011
ACC163588996,516-69-6549,54,Suspended,12/11/2017,4/2/2010
ACC859883788,290-21-1802,32,Active,9/14/2017,8/23/2016
ACC735000969,594-52-5038,66,Pending Activation,12/29/2012,1/18/2020
ACC730506584,365-46-5038,74,Dormant,11/8/2012,12/16/2014
ACC785894440,650-99-3263,28,Closed,6/24/2020,2/23/2013
ACC509988797,763-27-4967,23,Inactive,3/15/2012,2/19/2020
ACC534208913,473-85-3165,25,Restricted,12/7/2010,7/31/2019
ACC884518438,861-73-6141,13,In Review,3/1/2011,8/24/2015
ACC701247480,568-98-5600,53,Active,11/1/2012,12/12/2021
ACC407414674,206-77-8356,63,Active,8/15/2020,7/4/2011
ACC703759268,740-05-7610,98,Archived,11/19/2012,4/21/2019
ACC852545108,399-02-7593,61,Pending Activation,5/16/2013,7/13/2014
ACC409329817,205-47-8030,15,Inactive,4/9/2018,10/15/2013
ACC644361281,130-35-0848,69,Active,5/7/2019,8/22/2012
ACC356996576,564-07-3591,100,Suspended,9/19/2013,11/24/2016
ACC479139131,556-84-2140,23,Pending Activation,6/2/2016,5/20/2013
ACC014958833,747-56-5781,57,Suspended,1/14/2018,1/7/2010
ACC069765195,182-23-7911,48,Closed,6/22/2013,1/27/2019
ACC825780266,236-81-7093,47,Archived,4/22/2017,10/11/2010
ACC618348852,691-28-6559,95,On Hold,11/1/2018,2/23/2013
ACC772259586,634-27-8874,32,Restricted,3/11/2020,5/25/2011
ACC601080100,127-51-7648,25,Inactive,6/6/2021,7/14/2014
ACC729458927,764-90-5133,96,Inactive,4/3/2012,6/29/2013
ACC949118580,395-89-0632,91,In Review,6/11/2013,2/28/2013
ACC513185024,682-15-3715,21,Closed,12/23/2016,5/23/2012
ACC310050900,252-84-5848,38,In Review,12/22/2013,5/24/2015
ACC198481184,722-38-0563,60,On Hold,6/14/2011,1/10/2020
ACC581443739,601-93-8041,60,Inactive,6/17/2018,6/24/2019
ACC770782309,115-02-5084,75,In Review,2/22/2018,1/18/2019
ACC104518557,630-51-1682,95,On Hold,8/2/2013,6/29/2020
ACC752444143,598-76-7465,89,Pending Activation,4/19/2012,8/7/2021
ACC809001119,528-06-2090,50,Restricted,4/1/2018,4/27/2019
ACC730519358,126-86-4015,43,Pending Activation,1/15/2010,1/21/2013
ACC433181086,482-40-1690,55,Restricted,12/8/2021,6/11/2012
ACC518838344,821-41-5487,60,Inactive,5/28/2018,12/25/2015
ACC477651102,303-60-6369,89,Active,6/16/2012,12/22/2018
ACC818469123,378-87-1056,17,In Review,1/7/2021,11/30/2010
ACC253939500,435-10-4849,40,Pending Activation,8/28/2016,1/21/2020
ACC541788845,799-92-0196,42,Suspended,9/16/2019,7/27/2019
ACC094766712,364-56-0809,90,Dormant,5/18/2010,4/26/2021
ACC790868795,720-50-1776,11,Inactive,9/13/2017,9/21/2011
ACC949028153,292-80-3409,6,Dormant,12/28/2013,8/27/2014
ACC207180461,577-16-7220,80,Inactive,7/21/2017,11/22/2012
ACC541072012,609-75-7537,17,Suspended,2/2/2020,10/23/2017
ACC590019146,704-69-6753,3,Inactive,10/23/2020,4/12/2010
ACC211802179,438-12-4628,42,In Review,12/27/2020,9/18/2013
ACC824134961,313-32-6518,40,Active,8/25/2021,10/22/2013
ACC525329649,607-63-5940,35,Dormant,12/23/2011,8/8/2017
ACC761540588,707-61-9562,52,On Hold,11/1/2014,9/25/2021
ACC285950076,762-70-4472,86,In Review,3/3/2013,8/21/2013
ACC160807893,782-25-2140,98,Archived,10/10/2020,11/2/2011
ACC577530691,771-46-3757,68,In Review,9/21/2016,5/28/2018
ACC045098465,420-93-0043,60,Active,6/14/2014,8/14/2010
ACC897392842,731-43-8654,86,Closed,7/10/2020,2/9/2021
ACC004037675,399-40-1520,1,Suspended,6/19/2020,7/17/2012
ACC775007592,213-16-0758,12,Dormant,3/31/2016,6/15/2010
ACC468994374,130-44-9143,17,Suspended,12/28/2020,6/15/2020
ACC703636491,762-49-1943,58,In Review,8/4/2010,9/8/2012
ACC311775918,272-39-9059,79,Suspended,7/30/2020,7/24/2020
ACC898802928,618-65-3141,68,Pending Activation,5/25/2012,3/25/2015
ACC032198451,705-52-1530,79,Suspended,3/29/2014,9/2/2018
ACC020788437,751-51-9833,98,Closed,2/6/2019,5/2/2013
ACC466698223,775-99-5015,36,Dormant,9/3/2017,5/23/2021
